"Marker","Effect","DFn","DFd","F","p_value","ges","Signif"
"EdU","heat",1,74,8.527,0.005,0.103,"**"
"EdU","time",3,74,5.687,0.001,0.187,"**"
"EdU","state",2,74,22.684,2.07e-08,0.38,"***"
"EdU","heat:time",3,74,2.169,0.099,0.081,"ns"
"EdU","heat:state",2,74,1.962,0.148,0.05,"ns"
"EdU","time:state",4,74,4.335,0.003,0.19,"**"
"EdU","heat:time:state",4,74,2.08,0.092,0.101,"ns"
"Caspase","heat",1,79,0.316,0.576,0.004,"ns"
"Caspase","time",3,79,6.231,0.000747,0.191,"***"
"Caspase","state",2,79,20.358,7.4e-08,0.34,"***"
"Caspase","heat:time",3,79,4.83,0.004,0.155,"**"
"Caspase","heat:state",2,79,0.641,0.53,0.016,"ns"
"Caspase","time:state",4,79,5.885,0.000338,0.23,"***"
"Caspase","heat:time:state",4,79,4.076,0.005,0.171,"**"
