ID,Plate,Treatment,Line,Symbiosis,Well,Temp,Lacerate,Day,Day_cat,Tent_count
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A1,25C (ambient),1,0,0_day,0
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A1,25C (ambient),1,3,3_day,x
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A1,25C (ambient),1,4,4_day,x
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A1,25C (ambient),1,5,5_day,x
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A1,25C (ambient),1,7,7_day,x
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A1,25C (ambient),1,10,10_day,x
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A1,25C (ambient),1,11,11_day,x
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A1,25C (ambient),1,14,14_day,x
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A1,25C (ambient),1,21,21_day,x
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A2,25C (ambient),1,0,0_day,0
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A2,25C (ambient),1,3,3_day,0
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A2,25C (ambient),1,4,4_day,0
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A2,25C (ambient),1,5,5_day,1
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A2,25C (ambient),1,7,7_day,8
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A2,25C (ambient),1,10,10_day,14
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A2,25C (ambient),1,11,11_day,14
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A2,25C (ambient),1,14,14_day,14
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A2,25C (ambient),1,21,21_day,14
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,A3,25C (ambient),1,0,0_day,0
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,A3,25C (ambient),1,3,3_day,0
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,A3,25C (ambient),1,4,4_day,0
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,A3,25C (ambient),1,5,5_day,4
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,A3,25C (ambient),1,7,7_day,6
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,A3,25C (ambient),1,10,10_day,9
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,A3,25C (ambient),1,11,11_day,11
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,A3,25C (ambient),1,14,14_day,11
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,A3,25C (ambient),1,21,21_day,12
H2-Apo-25-A4-1,1,H2-Apo-25,H2,Apo,A4,25C (ambient),1,0,0_day,0
