ID,Plate,Treatment,Line,Symbiosis,Well,Temp,Lacerate,Day_cat,Day,Pedal
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A1,25C (ambient),1,3_day,3,378.73
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A1,25C (ambient),1,7_day,7,
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A1,25C (ambient),1,14_day,14,
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A1,25C (ambient),1,21_day,21,
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A2,25C (ambient),1,3_day,3,687.97
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A2,25C (ambient),1,7_day,7,662.82
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A2,25C (ambient),1,14_day,14,474.91
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A2,25C (ambient),1,21_day,21,452.76
H2-Apo-25-A1-1,1,H2-Apo-25,H2,Apo,A3,25C (ambient),1,3_day,3,563.51
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A3,25C (ambient),1,7_day,7,445.98
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A3,25C (ambient),1,14_day,14,397.47
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A3,25C (ambient),1,21_day,21,440.92
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A4,25C (ambient),1,3_day,3,713.98
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A4,25C (ambient),1,7_day,7,602.52
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A4,25C (ambient),1,14_day,14,290.2
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A4,25C (ambient),1,21_day,21,328.98
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A4,25C (ambient),2,3_day,3,617.91
H2-Apo-25-A2-1,1,H2-Apo-25,H2,Apo,A4,25C (ambient),2,7_day,7,715.12
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,A4,25C (ambient),2,14_day,14,428.61
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,A4,25C (ambient),2,21_day,21,389.17
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,B1,25C (ambient),1,3_day,3,429.29
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,B1,25C (ambient),1,7_day,7,389.07
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,B1,25C (ambient),1,14_day,14,235.77
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,B1,25C (ambient),1,21_day,21,240.8
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,B2,25C (ambient),1,3_day,3,
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,B2,25C (ambient),1,7_day,7,
H2-Apo-25-A3-1,1,H2-Apo-25,H2,Apo,B2,25C (ambient),1,14_day,14,
H2-Apo-25-A4-1,1,H2-Apo-25,H2,Apo,B2,25C (ambient),1,21_day,21,
H2-Apo-25-A4-1,1,H2-Apo-25,H2,Apo,B3,25C (ambient),1,3_day,3,757.86
H2-Apo-25-A4-1,1,H2-Apo-25,H2,Apo,B3,25C (ambient),1,7_day,7,661.87
H2-Apo-25-A4-1,1,H2-Apo-25,H2,Apo,B3,25C (ambient),1,14_day,14,609.5
