Sample,Technical Replicates,Treatment,Ave_SymDensity,Protein,Response
S1,1.15E+05,Ino25,1.06E+05,0.104,1.02E+06
S1,1.20E+05,Ino25,1.06E+05,0.104,1.02E+06
S1,1.47E+05,Ino25,1.06E+05,0.104,1.02E+06
S1,1.26E+05,Ino25,1.06E+05,0.104,1.02E+06
S1,5.30E+04,Ino25,1.06E+05,0.104,1.02E+06
S1,7.60E+04,Ino25,1.06E+05,0.104,1.02E+06
S2,5.85E+04,Ino25,5.79E+04,0.317,1.82E+05
S2,5.85E+04,Ino25,5.79E+04,0.317,1.82E+05
S2,4.69E+04,Ino25,5.79E+04,0.317,1.82E+05
S2,6.75E+04,Ino25,5.79E+04,0.317,1.82E+05
S3,1.76E+04,Ino25,3.30E+04,0.002,1.65E+07
S3,6.15E+04,Ino25,3.30E+04,0.002,1.65E+07
S3,2.64E+04,Ino25,1.54E+04,0.002,7.70E+06
S3,2.64E+04,Ino25,8.80E+03,0.002,4.40E+06
S4,2.93E+03,Ino32,2.20E+03,0.003,7.32E+05
S4,5.85E+03,Ino32,2.20E+03,0.003,7.32E+05
S4,0.00E+00,Ino32,2.20E+03,0.003,7.32E+05
S4,0.00E+00,Ino32,2.20E+03,0.003,7.32E+05
S5,2.93E+03,Ino32,7.33E+02,0.004,1.83E+05
S5,0.00E+00,Ino32,7.33E+02,0.004,1.83E+05
S5,0.00E+00,Ino32,7.33E+02,0.004,1.83E+05
S5,0.00E+00,Ino32,7.33E+02,0.004,1.83E+05
S6,2.93E+03,Ino32,7.33E+02,0.003,2.44E+05
S6,0.00E+00,Ino32,7.33E+02,0.003,2.44E+05
S6,0.00E+00,Ino32,7.33E+02,0.003,2.44E+05
S6,0.00E+00,Ino32,7.33E+02,0.003,2.44E+05
