"marker","state","time","contrast","group1","group2","n1","n2","statistic","df","p_raw","p_fdr","signif_raw","signif_fdr"
"EdU","Apo","2dpl","Heat: Control vs Heat","Control","Heat",3,6,-6.213,5.29,0.00128,0.0128,"**","*"
"EdU","Apo","5dpl","Heat: Control vs Heat","Control","Heat",3,5,-0.754,5.88,0.48,0.698,"ns","ns"
"EdU","Apo","8dpl","Heat: Control vs Heat","Control","Heat",5,3,2.868,3.24,0.0584,0.29,"ns","ns"
"EdU","Apo","14dpl","Heat: Control vs Heat","Control","Heat",3,3,-1.882,3.2,0.151,0.322,"ns","ns"
"EdU","Inoc","5dpl","Heat: Control vs Heat","Control","Heat",4,5,-2.026,6.27,0.0871,0.29,"ns","ns"
"EdU","Inoc","8dpl","Heat: Control vs Heat","Control","Heat",4,5,0.03,6.99,0.977,0.977,"ns","ns"
"EdU","Inoc","14dpl","Heat: Control vs Heat","Control","Heat",3,2,-3.666,1.04,0.161,0.322,"ns","ns"
"EdU","Sym","2dpl","Heat: Control vs Heat","Control","Heat",5,6,-0.61,8.55,0.558,0.698,"ns","ns"
"EdU","Sym","5dpl","Heat: Control vs Heat","Control","Heat",8,8,-0.313,9.8,0.761,0.846,"ns","ns"
"EdU","Sym","8dpl","Heat: Control vs Heat","Control","Heat",6,7,-0.62,9.36,0.55,0.698,"ns","ns"
"Caspase","Apo","2dpl","Heat: Control vs Heat","Control","Heat",3,6,-0.179,2.69,0.87,0.87,"ns","ns"
"Caspase","Apo","5dpl","Heat: Control vs Heat","Control","Heat",4,5,-0.27,6.17,0.796,0.87,"ns","ns"
"Caspase","Apo","8dpl","Heat: Control vs Heat","Control","Heat",6,3,1.87,6.1,0.11,0.275,"ns","ns"
"Caspase","Apo","14dpl","Heat: Control vs Heat","Control","Heat",3,3,-12.327,2.35,0.00346,0.0173,"**","*"
"Caspase","Inoc","5dpl","Heat: Control vs Heat","Control","Heat",4,5,-4.816,6.44,0.00243,0.0173,"**","*"
"Caspase","Inoc","8dpl","Heat: Control vs Heat","Control","Heat",4,5,2.308,5.04,0.0687,0.229,"ns","ns"
"Caspase","Inoc","14dpl","Heat: Control vs Heat","Control","Heat",3,2,-1.121,1.58,0.404,0.577,"ns","ns"
"Caspase","Sym","2dpl","Heat: Control vs Heat","Control","Heat",6,6,1.604,5.2,0.167,0.328,"ns","ns"
"Caspase","Sym","5dpl","Heat: Control vs Heat","Control","Heat",9,8,-1.379,10.26,0.197,0.328,"ns","ns"
"Caspase","Sym","8dpl","Heat: Control vs Heat","Control","Heat",6,8,0.673,11.47,0.515,0.644,"ns","ns"
