"marker","heat","time","contrast","group1","group2","n1","n2","statistic","df","p_raw","p_fdr","signif_raw","signif_fdr"
"EdU","Control","2dpl","State: pairwise within time×heat","Apo","Sym",3,5,NA,NA,0.0437,0.0777,"*","ns"
"EdU","Control","5dpl","State: pairwise within time×heat","Apo","Inoc",3,4,NA,NA,0.0806,0.119,"ns","ns"
"EdU","Control","5dpl","State: pairwise within time×heat","Apo","Sym",3,8,NA,NA,0.978,0.978,"ns","ns"
"EdU","Control","5dpl","State: pairwise within time×heat","Inoc","Sym",4,8,NA,NA,0.0368,0.0736,"*","ns"
"EdU","Control","8dpl","State: pairwise within time×heat","Apo","Inoc",5,4,NA,NA,0.165,0.207,"ns","ns"
"EdU","Control","8dpl","State: pairwise within time×heat","Apo","Sym",5,6,NA,NA,0.00202,0.0108,"**","*"
"EdU","Control","8dpl","State: pairwise within time×heat","Inoc","Sym",4,6,NA,NA,0.000216,0.00346,"***","**"
"EdU","Control","14dpl","State: pairwise within time×heat","Apo","Inoc",3,3,NA,NA,0.00675,0.0216,"**","*"
"EdU","Heat","2dpl","State: pairwise within time×heat","Apo","Sym",6,6,NA,NA,0.00655,0.0216,"**","*"
"EdU","Heat","5dpl","State: pairwise within time×heat","Apo","Inoc",5,5,NA,NA,0.0161,0.0368,"*","*"
"EdU","Heat","5dpl","State: pairwise within time×heat","Apo","Sym",5,8,NA,NA,0.476,0.544,"ns","ns"
"EdU","Heat","5dpl","State: pairwise within time×heat","Inoc","Sym",5,8,NA,NA,0.00198,0.0108,"**","*"
"EdU","Heat","8dpl","State: pairwise within time×heat","Apo","Inoc",3,5,NA,NA,0.082,0.119,"ns","ns"
"EdU","Heat","8dpl","State: pairwise within time×heat","Apo","Sym",3,7,NA,NA,0.565,0.603,"ns","ns"
"EdU","Heat","8dpl","State: pairwise within time×heat","Inoc","Sym",5,7,NA,NA,0.00983,0.0262,"**","*"
"EdU","Heat","14dpl","State: pairwise within time×heat","Apo","Inoc",3,2,NA,NA,0.168,0.207,"ns","ns"
"Caspase","Control","2dpl","State: pairwise within time×heat","Apo","Sym",3,6,NA,NA,0.888,0.888,"ns","ns"
"Caspase","Control","5dpl","State: pairwise within time×heat","Apo","Inoc",4,4,NA,NA,0.0535,0.0778,"ns","ns"
"Caspase","Control","5dpl","State: pairwise within time×heat","Apo","Sym",4,9,NA,NA,0.298,0.341,"ns","ns"
"Caspase","Control","5dpl","State: pairwise within time×heat","Inoc","Sym",4,9,NA,NA,0.00313,0.00835,"**","**"
"Caspase","Control","8dpl","State: pairwise within time×heat","Apo","Inoc",6,4,NA,NA,0.0854,0.114,"ns","ns"
"Caspase","Control","8dpl","State: pairwise within time×heat","Apo","Sym",6,6,NA,NA,0.0277,0.0443,"*","*"
"Caspase","Control","8dpl","State: pairwise within time×heat","Inoc","Sym",4,6,NA,NA,0.00131,0.00524,"**","**"
"Caspase","Control","14dpl","State: pairwise within time×heat","Apo","Inoc",3,3,NA,NA,0.00801,0.0183,"**","*"
"Caspase","Heat","2dpl","State: pairwise within time×heat","Apo","Sym",6,6,NA,NA,0.0123,0.0219,"*","*"
"Caspase","Heat","5dpl","State: pairwise within time×heat","Apo","Inoc",5,5,NA,NA,9.77e-06,7.82e-05,"***","***"
"Caspase","Heat","5dpl","State: pairwise within time×heat","Apo","Sym",5,8,NA,NA,0.578,0.617,"ns","ns"
"Caspase","Heat","5dpl","State: pairwise within time×heat","Inoc","Sym",5,8,NA,NA,1.18e-06,1.89e-05,"***","***"
"Caspase","Heat","8dpl","State: pairwise within time×heat","Apo","Inoc",3,5,NA,NA,0.0111,0.0219,"*","*"
"Caspase","Heat","8dpl","State: pairwise within time×heat","Apo","Sym",3,8,NA,NA,0.242,0.298,"ns","ns"
"Caspase","Heat","8dpl","State: pairwise within time×heat","Inoc","Sym",5,8,NA,NA,0.000159,0.000848,"***","***"
"Caspase","Heat","14dpl","State: pairwise within time×heat","Apo","Inoc",3,2,NA,NA,0.00227,0.00726,"**","**"
