"marker","state","heat","contrast","group1","group2","n1","n2","statistic","df","p_raw","p_fdr","signif_raw","signif_fdr"
"EdU","Apo","Control","Time: pairwise within state×heat","2dpl","14dpl",3,3,NA,NA,0.0118,0.0708,"*","ns"
"EdU","Apo","Control","Time: pairwise within state×heat","2dpl","5dpl",3,3,NA,NA,0.0246,0.0843,"*","ns"
"EdU","Apo","Control","Time: pairwise within state×heat","2dpl","8dpl",3,5,NA,NA,0.000911,0.0219,"***","*"
"EdU","Apo","Control","Time: pairwise within state×heat","5dpl","14dpl",3,3,NA,NA,0.676,0.773,"ns","ns"
"EdU","Apo","Control","Time: pairwise within state×heat","5dpl","8dpl",3,5,NA,NA,0.121,0.29,"ns","ns"
"EdU","Apo","Control","Time: pairwise within state×heat","8dpl","14dpl",5,3,NA,NA,0.253,0.432,"ns","ns"
"EdU","Apo","Heat","Time: pairwise within state×heat","2dpl","14dpl",6,3,NA,NA,0.816,0.84,"ns","ns"
"EdU","Apo","Heat","Time: pairwise within state×heat","2dpl","5dpl",6,5,NA,NA,0.569,0.695,"ns","ns"
"EdU","Apo","Heat","Time: pairwise within state×heat","2dpl","8dpl",6,3,NA,NA,0.141,0.308,"ns","ns"
"EdU","Apo","Heat","Time: pairwise within state×heat","5dpl","14dpl",5,3,NA,NA,0.803,0.84,"ns","ns"
"EdU","Apo","Heat","Time: pairwise within state×heat","5dpl","8dpl",5,3,NA,NA,0.321,0.453,"ns","ns"
"EdU","Apo","Heat","Time: pairwise within state×heat","8dpl","14dpl",3,3,NA,NA,0.27,0.432,"ns","ns"
"EdU","Inoc","Control","Time: pairwise within state×heat","5dpl","14dpl",4,3,NA,NA,0.0218,0.0843,"*","ns"
"EdU","Inoc","Control","Time: pairwise within state×heat","5dpl","8dpl",4,4,NA,NA,0.84,0.84,"ns","ns"
"EdU","Inoc","Control","Time: pairwise within state×heat","8dpl","14dpl",4,3,NA,NA,0.0294,0.0882,"*","ns"
"EdU","Inoc","Heat","Time: pairwise within state×heat","5dpl","14dpl",5,2,NA,NA,0.0103,0.0708,"*","ns"
"EdU","Inoc","Heat","Time: pairwise within state×heat","5dpl","8dpl",5,5,NA,NA,0.0213,0.0843,"*","ns"
"EdU","Inoc","Heat","Time: pairwise within state×heat","8dpl","14dpl",5,2,NA,NA,0.289,0.434,"ns","ns"
"EdU","Sym","Control","Time: pairwise within state×heat","2dpl","5dpl",5,8,NA,NA,0.115,0.29,"ns","ns"
"EdU","Sym","Control","Time: pairwise within state×heat","2dpl","8dpl",5,6,NA,NA,0.222,0.41,"ns","ns"
"EdU","Sym","Control","Time: pairwise within state×heat","5dpl","8dpl",8,6,NA,NA,0.00578,0.0694,"**","ns"
"EdU","Sym","Heat","Time: pairwise within state×heat","2dpl","5dpl",6,8,NA,NA,0.425,0.567,"ns","ns"
"EdU","Sym","Heat","Time: pairwise within state×heat","2dpl","8dpl",6,7,NA,NA,0.579,0.695,"ns","ns"
"EdU","Sym","Heat","Time: pairwise within state×heat","5dpl","8dpl",8,7,NA,NA,0.162,0.324,"ns","ns"
"Caspase","Apo","Control","Time: pairwise within state×heat","2dpl","14dpl",3,3,NA,NA,0.229,0.344,"ns","ns"
"Caspase","Apo","Control","Time: pairwise within state×heat","2dpl","5dpl",3,4,NA,NA,0.218,0.344,"ns","ns"
"Caspase","Apo","Control","Time: pairwise within state×heat","2dpl","8dpl",3,6,NA,NA,0.432,0.576,"ns","ns"
"Caspase","Apo","Control","Time: pairwise within state×heat","5dpl","14dpl",4,3,NA,NA,0.957,0.957,"ns","ns"
"Caspase","Apo","Control","Time: pairwise within state×heat","5dpl","8dpl",4,6,NA,NA,0.529,0.605,"ns","ns"
"Caspase","Apo","Control","Time: pairwise within state×heat","8dpl","14dpl",6,3,NA,NA,0.527,0.605,"ns","ns"
"Caspase","Apo","Heat","Time: pairwise within state×heat","2dpl","14dpl",6,3,NA,NA,0.461,0.582,"ns","ns"
"Caspase","Apo","Heat","Time: pairwise within state×heat","2dpl","5dpl",6,5,NA,NA,0.0376,0.082,"*","ns"
"Caspase","Apo","Heat","Time: pairwise within state×heat","2dpl","8dpl",6,3,NA,NA,0.0223,0.0581,"*","ns"
"Caspase","Apo","Heat","Time: pairwise within state×heat","5dpl","14dpl",5,3,NA,NA,0.0198,0.0581,"*","ns"
"Caspase","Apo","Heat","Time: pairwise within state×heat","5dpl","8dpl",5,3,NA,NA,0.565,0.616,"ns","ns"
"Caspase","Apo","Heat","Time: pairwise within state×heat","8dpl","14dpl",3,3,NA,NA,0.0123,0.0581,"*","ns"
"Caspase","Inoc","Control","Time: pairwise within state×heat","5dpl","14dpl",4,3,NA,NA,0.0157,0.0581,"*","ns"
