ID,plate,treatment,line,symbiosis,well,temp,day,tent_count,day_cat
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),0,0,0_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),1,0,1_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),2,0,2_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),3,0,3_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),4,x,4_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),5,x,5_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),6,x,6_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),7,x,7_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),8,f,8_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),9,f,9_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),10,f,10_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),11,f,11_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),12,f,12_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),13,f,13_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),14,f,14_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),17,f,17_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),20,f,20_day
H2-SYM-1_A1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A1,25C (ambient),21,f,21_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),0,0,0_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),1,0,1_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),2,0,2_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),3,0,3_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),4,0,4_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),5,0,5_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),6,0,6_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),7,4,7_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),8,f,8_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),9,f,9_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),10,f,10_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),11,f,11_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),12,f,12_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),13,f,13_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),14,f,14_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),17,f,17_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),20,f,20_day
H2-SYM-1_A2_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A2,25C (ambient),21,f,21_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),0,0,0_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),1,0,1_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),2,0,2_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),3,0,3_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),4,0,4_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),5,0,5_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),6,1,6_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),7,5,7_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),8,x,8_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),9,x,9_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),10,x,10_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),11,x,11_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),12,x,12_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),13,x,13_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),14,x,14_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),17,x,17_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),20,x,20_day
H2-SYM-1_A3_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A3,25C (ambient),21,x,21_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),0,0,0_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),1,0,1_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),2,0,2_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),3,0,3_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),4,x,4_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),5,x,5_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),6,x,6_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),7,x,7_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),8,f,8_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),9,f,9_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),10,f,10_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),11,f,11_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),12,f,12_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),13,f,13_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),14,f,14_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),17,f,17_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),20,f,20_day
H2-SYM-1_A4_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,A4,25C (ambient),21,f,21_day
H2-SYM-1_B1_X2,H2-Sym-1,H2-SYM-25C,H2,Sym,B1,25C (ambient),0,0,0_day
