ID,plate,treatment,salinity,line,symbiosis,well,temp,day,tent_count,day_cat
H2-SYM-25C_20S_pilot_W1,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W1,25C (ambient),0,0,0_day
H2-SYM-25C_20S_pilot_W1,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W1,25C (ambient),5,0,5_day
H2-SYM-25C_20S_pilot_W1,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W1,25C (ambient),7,0,7_day
H2-SYM-25C_20S_pilot_W1,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W1,25C (ambient),9,2,9_day
H2-SYM-25C_20S_pilot_W1,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W1,25C (ambient),12,12,12_day
H2-SYM-25C_20S_pilot_W1,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W1,25C (ambient),14,12,14_day
H2-SYM-25C_20S_pilot_W1,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W1,25C (ambient),16,12,16_day
H2-SYM-25C_20S_pilot_W1,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W1,25C (ambient),19,13,19_day
H2-SYM-25C_20S_pilot_W1,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W1,25C (ambient),21,13,21_day
H2-SYM-25C_20S_pilot_W2,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W2,25C (ambient),0,0,0_day
H2-SYM-25C_20S_pilot_W2,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W2,25C (ambient),5,0,5_day
H2-SYM-25C_20S_pilot_W2,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W2,25C (ambient),7,0,7_day
H2-SYM-25C_20S_pilot_W2,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W2,25C (ambient),9,1,9_day
H2-SYM-25C_20S_pilot_W2,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W2,25C (ambient),12,6,12_day
H2-SYM-25C_20S_pilot_W2,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W2,25C (ambient),14,7,14_day
H2-SYM-25C_20S_pilot_W2,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W2,25C (ambient),16,8,16_day
H2-SYM-25C_20S_pilot_W2,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W2,25C (ambient),19,8,19_day
H2-SYM-25C_20S_pilot_W2,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W2,25C (ambient),21,8,21_day
H2-SYM-25C_20S_pilot_W3,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W3,25C (ambient),0,0,0_day
H2-SYM-25C_20S_pilot_W3,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W3,25C (ambient),5,0,5_day
H2-SYM-25C_20S_pilot_W3,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W3,25C (ambient),7,0,7_day
H2-SYM-25C_20S_pilot_W3,Plate 1,H2-SYM-25C_20S_pilot,20,H2,Sym,W3,25C (ambient),9,0,9_day
