ID,Treatment,Day1_ID,Day1_PD,Day8_ID,Day8_PD,Day14_ID,Day14_PD
2A1,APO_25,169,21.658,315,12.97,43,10.825
2A2,APO_25,170,15.05,N/A,N/A,N/A,N/A
2A3,APO_25,171,13.325,316,12.449,44,6.966
2A4,APO_25,172,11.759,317,3.497,45,12.678
2B1,APO_25,173,29.234,318,30.407,N/A,N/A
2B2,APO_25,174,16.373,N/A,,N/A,N/A
2B3,APO_25,176,33.718,319,13.286,46,26.633
2B4,APO_25,177,13.727,320,15.471,N/A,N/A
2C1,APO_25,178,12.272,321,9.729,47,7.111
2C2,APO_25,179,11.649,322,5.2675,48,4.285
2C3,APO_25,"180, 181",4.0595,324,12.074,49,5.766
2C4,APO_25,182,28.075,325,3.638,50,8.75
4A1,APO_32,111,9.304,326,10.498,51,7.184
4A2,APO_32,112,16.738,327,12.82,52,3
4A3,APO_32,113,6.974,328,10.997,N/A,N/A
4A4,APO_32,114,8.485,329,4.587,53,2.362
4B1,APO_32,115,8.756,330,5.421,54,4.992
4B2,APO_32,116,5.353,331,10.532,55,N/A
4B3,APO_32,117,18.037,N/A,N/A,56,5.787
4B4,APO_32,118,20.39,332,21.795,57,6.57
4C1,APO_32,119,20.142,333,5.129,58,6.242
4C2,APO_32,120,8.608,N/A,N/A,N/A,N/A
4C3,APO_32,121,23.112,334,9.387,59,2.498
4C4,APO_32,122,25.578,336,10.324,60,6.327
8A1,SYM_25,146,30.542,346,31.1,526,N/A
8A2,SYM_25,147,22.559,347,12.971,61/528,4.498
8A3,SYM_25,148,13.483,348,18.853,N/A,N/A
9A4,SYM_25,149,23.315,350,37.683,62/530,18.961
8B1,SYM_25,150,23.572,351,31.19,63//532,19.157
8B2,SYM_25,151,30.131,352,7.628,64/534,30.485
8B3,SYM_25,152,23.151,353,16.717,65//536,7.027
8B4,SYM_25,153,28.754,N/A,,66/538,3.863
8C1,SYM_25,154,16.82,354,,67/540,8.765
8C2,SYM_25,155,12.527,355,15.658,69/542,2.817
8C3,SYM_25,156,15.72,357,15.984,70/544,13.659
8C4,SYM_25,157,5.867,359,6.337,71/546,4.748
15A1,SYM_32,222,22.677,N/A,,N/A,
15A2,SYM_32,"223, 224",21.597,405,14.333,89/506,13.687
15A3,SYM_32,225,21.312,407,8.092,90/SKIPED,
15A4,SYM_32,226,36.046,409,34.87,91/507,3.294
15B1,SYM_32,227,29.914,411,26.262,92/508,22.278
15B2,SYM_32,228. 229,3.186,N/A,,N/A,
15B3,SYM_32,230,6.714,413,18.786,93,13.651
15B4,SYM_32,231,29.463,415,27.314,94/509,29.92
15C1,SYM_32,232,30.442,417,37.483,95,25.512
15C2,SYM_32,233,1.411,419,4.969,96/510,4.795
15C3,SYM_32,"234, 235",25.765,421,34.441,97,19.912
15C4,SYM_32,236,28.397,N/A,N/A,N/A,N/A
