,Label,Area,Mean,Min,Max,MinThr,MaxThr,Type,%,Region,notes,,plate,well,sym,temp,treatment,day,calculation
1,Snap-287.czi,12472.29,1046.731,574,2918,0,65535,Tentacle Area,0,Pedal disc,"most of the images in plates 7 and 10 aren't great, theres only one fluorescent and a couple of brightfields",,7,A1,inoc,25C,inoc-25C,7,0
2,Snap-286.czi,3222.617,1569.678,1003,3586,1003,65535,Symbiont Area,25.838,Pedal disc,,,7,A1,inoc,25C,inoc-25C,7,25.83821415
3,Snap-289.czi,21759.154,933.188,345,3662,0,65535,Tentacle Area,0,Pedal disc,,,7,A2,inoc,25C,inoc-25C,7,0
4,Snap-288.czi,5413.842,1816.522,1039,3898,1039,65535,Symbiont Area,24.881,Pedal disc,,,7,A2,inoc,25C,inoc-25C,7,24.88075593
5,Snap-297.czi,23819.346,1327.018,495,3921,0,65535,Tentacle Area,0,Pedal disc,,,7,A3,inoc,25C,inoc-25C,7,0
6,Snap-296.czi,7586.038,1836.588,1075,3809,1075,65535,Symbiont Area,31.848,Pedal disc,,,7,A3,inoc,25C,inoc-25C,7,31.84822119
7,Snap-303.czi,3144.344,819.448,318,2668,0,65535,Tentacle Area,0,Tentacle,,,7,A4,inoc,25C,inoc-25C,7,0
8,Snap-303.czi,654.081,1290.479,989,2668,989,65535,Symbiont Area,20.802,Tentacle,,,7,A4,inoc,25C,inoc-25C,7,20.80182703
9,Snap-301.czi,2964.661,857.73,426,4095,0,65535,Tentacle Area,0,Tentacle,,,7,A5,inoc,25C,inoc-25C,7,0
10,Snap-300.czi,473.965,2108.185,1219,3786,1219,65535,Symbiont Area,15.987,Tentacle,,,7,A5,inoc,25C,inoc-25C,7,15.98715671
11,Snap-305.czi,12000.055,1058.867,543,2755,0,65535,Tentacle Area,0,Pedal disc,,,7,A6,inoc,25C,inoc-25C,7,0
12,Snap-304.czi,2637.296,1536.108,908,3159,908,65535,Symbiont Area,21.977,Pedal disc,,,7,A6,inoc,25C,inoc-25C,7,21.97736594
13,Snap-309.czi,11481.764,1123.62,442,4095,0,65535,Tentacle Area,0,Pedal disc,,,7,B1,inoc,25C,inoc-25C,7,0
14,Snap-308.czi,1977.81,1909.559,1060,3878,1060,65535,Symbiont Area,17.226,Pedal disc,,,7,B1,inoc,25C,inoc-25C,7,17.22566323
15,Snap-311.czi,17331.082,1012.268,414,4095,0,65535,Tentacle Area,0,Pedal disc,,,7,B2,inoc,25C,inoc-25C,7,0
16,Snap-310.czi,3503.926,1882.042,1060,3929,1060,65535,Symbiont Area,20.218,Pedal disc,,,7,B2,inoc,25C,inoc-25C,7,20.21758365
17,Snap-318.czi,9860.509,1457.355,679,3672,0,65535,Tentacle Area,0,Pedal disc,,,7,B4,inoc,25C,inoc-25C,7,0
18,Snap-317.czi,1798.992,1614.127,893,3624,893,65535,Symbiont Area,18.244,Pedal disc,,,7,B4,inoc,25C,inoc-25C,7,18.24441314
19,Snap-322.czi,11872.266,704.66,366,2734,0,65535,Tentacle Area,0,Pedal disc,,,7,B5,inoc,25C,inoc-25C,7,0
20,Snap-321.czi,1304.918,1443.383,797,3913,797,65535,Symbiont Area,10.991,Pedal disc,,,7,B5,inoc,25C,inoc-25C,7,10.99131371
21,Snap-326.czi,11228.132,1093.25,534,3566,0,65535,Tentacle Area,0,Pedal disc,,,7,B6,inoc,25C,inoc-25C,7,0
22,Snap-325.czi,2364.853,1347.257,788,3368,788,65535,Symbiont Area,21.062,Pedal disc,,,7,B6,inoc,25C,inoc-25C,7,21.06185606
1,Snap-329.czi,4507.859,1441.468,624,2707,0,65535,Tentacle Area,0,Tentacle,,,7,C1,inoc,25C,inoc-25C,7,0
2,Snap-328.czi,646.945,997.371,584,3114,584,65535,Symbiont Area,14.351,Tentacle,,,7,C1,inoc,25C,inoc-25C,7,14.35149147
3,Snap-333.czi,17800.291,917.625,389,2929,0,65535,Tentacle Area,0,Pedal disc,,,7,C2,inoc,25C,inoc-25C,7,0
4,Snap-332.czi,506.831,1518.593,790,3973,790,65535,Symbiont Area,2.847,Pedal disc,,,7,C2,inoc,25C,inoc-25C,7,2.84731862
5,Snap-340.czi,20437.803,1160.995,521,3635,0,65535,Tentacle Area,0,Pedal disc,,,7,C4,inoc,25C,inoc-25C,7,0
6,Snap-339.czi,1967.431,1403.119,765,4022,765,65535,Symbiont Area,9.626,Pedal disc,,,7,C4,inoc,25C,inoc-25C,7,9.626430982
7,Snap-344.czi,20252.282,755.871,297,3044,0,65535,Tentacle Area,0,Pedal disc,,,7,C5,inoc,25C,inoc-25C,7,0
8,Snap-343.czi,2986.283,1497.829,845,3919,845,65535,Symbiont Area,14.745,Pedal disc,,,7,C5,inoc,25C,inoc-25C,7,14.74541486
9,Snap-346.czi,29274.27,1294.422,495,3411,0,65535,Tentacle Area,0,Pedal disc,,,7,C6,inoc,25C,inoc-25C,7,0
10,Snap-345.czi,8199.901,1855.4,1059,3856,1059,65535,Symbiont Area,28.011,Pedal disc,,,7,C6,inoc,25C,inoc-25C,7,28.01060795
11,Snap-346.czi,6773.681,1706.159,739,3269,0,65535,Tentacle Area,0,Body column,,,7,C6,inoc,25C,inoc-25C,7,0
12,Snap-345.czi,1241.996,1229.462,696,2751,696,65535,Symbiont Area,18.336,Body column,,,7,C6,inoc,25C,inoc-25C,7,18.33561397
13,Snap-350.czi,17554.227,812.156,324,2870,0,65535,Tentacle Area,0,Pedal disc,,,7,D1,inoc,25C,inoc-25C,7,0
14,Snap-349.czi,4533.373,1781.879,1018,3904,1018,65535,Symbiont Area,25.825,Pedal disc,,,7,D1,inoc,25C,inoc-25C,7,25.82496512
15,Snap-354.czi,18807.25,1090.607,452,3675,0,65535,Tentacle Area,0,Pedal disc,,,7,D2,inoc,25C,inoc-25C,7,0
16,Snap-353.czi,4745.058,1765.351,1031,3880,1031,65535,Symbiont Area,25.23,Pedal disc,,,7,D2,inoc,25C,inoc-25C,7,25.22994058
17,Snap-357.czi,10529.509,1438.272,628,3854,0,65535,Tentacle Area,0,Pedal disc,,,7,D3,inoc,25C,inoc-25C,7,0
18,Snap-356.czi,1970.026,1681.299,942,3978,942,65535,Symbiont Area,18.71,Pedal disc,,,7,D3,inoc,25C,inoc-25C,7,18.70957136
19,Snap-361.czi,24445.101,1262.559,491,3844,0,65535,Tentacle Area,0,Pedal disc,,,7,D4,inoc,25C,inoc-25C,7,0
20,Snap-360.czi,2642.053,1652.448,893,3908,893,65535,Symbiont Area,10.808,Pedal disc,,,7,D4,inoc,25C,inoc-25C,7,10.80810834
21,Snap-365.czi,23464.737,1669.083,598,3569,0,65535,Tentacle Area,0,Pedal disc,,,7,D5,inoc,25C,inoc-25C,7,0
22,Snap-364.czi,8352.772,1762.704,1039,3531,1039,65535,Symbiont Area,35.597,Pedal disc,,,7,D5,inoc,25C,inoc-25C,7,35.59712602
23,Snap-369.czi,10488.642,997.724,470,2599,0,65535,Tentacle Area,0,Pedal disc,,,7,D6,inoc,25C,inoc-25C,7,0
24,Snap-368.czi,2136.087,1776.101,1051,3452,1051,65535,Symbiont Area,20.366,Pedal disc,,,7,D6,inoc,25C,inoc-25C,7,20.3657156
1,Snap-182.czi,11635.932,671.645,352,3325,0,65535,Tentacle Area,0,Pedal disc,,,10,A3,inoc,32C,inoc-32C,7,0
2,Snap-181.czi,845.656,1710.461,939,3874,939,65535,Symbiont Area,7.268,Pedal disc,,,10,A3,inoc,32C,inoc-32C,7,7.267625833
3,Snap-184.czi,10279.336,558.914,323,3185,0,65535,Tentacle Area,7.268,Pedal disc,,,10,A4,inoc,32C,inoc-32C,7,0
4,Snap-183.czi,40.218,1637.763,842,3996,841,65535,Symbiont Area,0.391,Pedal disc,,,10,A4,inoc,32C,inoc-32C,7,0.3912509524
5,Snap-186.czi,1280.701,1126.597,473,2907,0,65535,Tentacle Area,7.268,Tentacle,,,10,A4,inoc,32C,inoc-32C,7,0
6,Snap-183.czi,9.081,1771.619,917,3089,904,65535,Symbiont Area,0.709,Tentacle,,,10,A4,inoc,32C,inoc-32C,7,0.7090648012
7,Snap-190.czi,16519.158,406.009,168,1211,0,65535,Tentacle Area,7.268,Pedal disc,,,10,B1,inoc,32C,inoc-32C,7,0
8,Snap-189.czi,1901.266,841.813,463,3892,463,65535,Symbiont Area,11.509,Pedal disc,,,10,B1,inoc,32C,inoc-32C,7,11.50946071
9,Snap-194.czi,11802.209,542.84,216,1739,0,65535,Tentacle Area,7.268,Body column,,,10,B3,inoc,32C,inoc-32C,7,0
10,Snap-193.czi,749.868,1287.729,684,3743,684,65535,Symbiont Area,6.354,Body column,,,10,B3,inoc,32C,inoc-32C,7,6.353624139
11,Snap-197.czi,9292.702,700.539,393,1303,0,65535,Tentacle Area,7.268,Pedal disc,,,10,B4,inoc,32C,inoc-32C,7,0
12,Snap-196.czi,184.872,1528.23,793,3845,791,65535,Symbiont Area,1.989,Pedal disc,,,10,B4,inoc,32C,inoc-32C,7,1.989432137
13,Snap-199.czi,21262.053,488.655,178,1558,0,65535,Tentacle Area,7.268,Pedal disc,,,10,B5,inoc,32C,inoc-32C,7,0
14,Snap-198.czi,1140.803,569.012,310,3890,310,65535,Symbiont Area,5.365,Pedal disc,,,10,B5,inoc,32C,inoc-32C,7,5.365441428
15,Snap-201.czi,11590.525,703.025,393,3610,0,65535,Tentacle Area,7.268,Pedal disc,,,10,C2,inoc,32C,inoc-32C,7,0
16,Snap-200.czi,437.856,1721.592,896,3872,896,65535,Symbiont Area,3.778,Pedal disc,,,10,C2,inoc,32C,inoc-32C,7,3.777706359
17,Snap-203.czi,15566.903,718.418,393,3587,0,65535,Tentacle Area,7.268,Pedal disc,,,10,C5,inoc,32C,inoc-32C,7,0
18,Snap-202.czi,514.615,720,377,3942,377,65535,Symbiont Area,3.306,Pedal disc,,,10,C5,inoc,32C,inoc-32C,7,3.305827755
19,Snap-207.czi,21227.024,1100.31,343,3493,0,65535,Tentacle Area,7.268,Pedal disc,,,10,D4,inoc,32C,inoc-32C,7,0
20,Snap-206.czi,1487.196,1453.251,773,3995,773,65535,Symbiont Area,7.006,Pedal disc,,,10,D4,inoc,32C,inoc-32C,7,7.00614462
1,Snap-372.czi,11195.914,874.465,502,3182,0,65535,Tentacle Area,0,Pedal disc,,,7,A1,inoc,25C,inoc-25C,10,0
2,Snap-371.czi,148.114,179.447,46,3320,46,65535,Symbiont Area,1.323,Pedal disc,,,7,A1,inoc,25C,inoc-25C,10,1.322929061
3,Snap-374.czi,1819.533,739.918,475,1204,0,65535,Tentacle Area,0,Tentacle,,,7,A1,inoc,25C,inoc-25C,10,0
4,Snap-373.czi,65.3,88.106,46,798,46,65535,Symbiont Area,3.589,Tentacle,,,7,A1,inoc,25C,inoc-25C,10,3.588832959
5,Snap-376.czi,2004.622,746.235,442,2020,0,65535,Tentacle Area,0,Tentacle,,,7,A1,inoc,25C,inoc-25C,10,0
6,Snap-375.czi,44.11,81.721,46,487,46,65535,Symbiont Area,2.2,Tentacle,,,7,A1,inoc,25C,inoc-25C,10,2.200414841
7,Snap-378.czi,21045.179,1441.283,626,2839,0,65535,Tentacle Area,0,Tentacle,,,7,A2,inoc,25C,inoc-25C,10,0
8,Snap-377.czi,4011.406,1035.632,612,3648,612,65535,Symbiont Area,19.061,Tentacle,,,7,A2,inoc,25C,inoc-25C,10,19.06092602
11,Snap-382.czi,7428.626,914.777,379,1937,0,65535,Tentacle Area,0,Tentacle,,,7,A3,inoc,25C,inoc-25C,10,0
12,Snap-381.czi,3318.838,1537.382,1033,3518,1033,65535,Symbiont Area,44.676,Tentacle,,,7,A3,inoc,25C,inoc-25C,10,44.67633719
13,Snap-382.czi,3238.834,902.452,481,1489,0,65535,Tentacle Area,0,Tentacle,,,7,A3,inoc,25C,inoc-25C,10,0
14,Snap-383.czi,1229.672,2308.506,1661,3951,1661,65535,Symbiont Area,37.966,Tentacle,,,7,A3,inoc,25C,inoc-25C,10,37.96650276
15,Snap-382.czi,7646.797,942.079,413,1937,0,65535,Tentacle Area,0,Tentacle,,,7,A3,inoc,25C,inoc-25C,10,0
16,Snap-384.czi,3157.966,1776.829,1189,3787,1189,65535,Symbiont Area,41.298,Tentacle,,,7,A3,inoc,25C,inoc-25C,10,41.29789244
