,Area,Sample,Image,Channel,Type,Threshold,Percentage,True_Channel,Treatment,Time,Notes
1,0.425,SC_2dpl_sample1_MAX_C1.tif,SC_2dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,2dpl,
2,0.425,SC_2dpl_sample1_MAX_C1.tif,SC_2dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.011,2.685,EdU,Sym_Control,2dpl,
3,0.425,SC_2dpl_sample1_MAX_C1.tif,SC_2dpl_sample1_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,2dpl,
4,0.425,SC_2dpl_sample1_MAX_C1.tif,SC_2dpl_sample1_MAX_C3.tif,Second,Threshold Area,0.161,37.96,Caspase,Sym_Control,2dpl,
5,0.335,SC_2dpl_sample2_MAX_C1.tif,SC_2dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,2dpl,
6,0.335,SC_2dpl_sample2_MAX_C1.tif,SC_2dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.015,4.383,EdU,Sym_Control,2dpl,
7,0.335,SC_2dpl_sample2_MAX_C1.tif,SC_2dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,2dpl,
8,0.335,SC_2dpl_sample2_MAX_C1.tif,SC_2dpl_sample2_MAX_C3.tif,Second,Threshold Area,7.11E-04,0.212,Caspase,Sym_Control,2dpl,
9,0.301,SC_2dpl_sample3_MAX_C1.tif,SC_2dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,2dpl,
10,0.301,SC_2dpl_sample3_MAX_C1.tif,SC_2dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.02,6.789,EdU,Sym_Control,2dpl,
11,0.301,SC_2dpl_sample3_MAX_C1.tif,SC_2dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,2dpl,
12,0.301,SC_2dpl_sample3_MAX_C1.tif,SC_2dpl_sample3_MAX_C3.tif,Second,Threshold Area,0.011,3.512,Caspase,Sym_Control,2dpl,
13,0.524,SC_2dpl_sample4_MAX_C1.tif,SC_2dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,2dpl,
14,0.524,SC_2dpl_sample4_MAX_C1.tif,SC_2dpl_sample4_MAX_C4.tif,Second,Threshold Area,0.018,3.34,EdU,Sym_Control,2dpl,
15,0.524,SC_2dpl_sample4_MAX_C1.tif,SC_2dpl_sample4_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,2dpl,
16,0.524,SC_2dpl_sample4_MAX_C1.tif,SC_2dpl_sample4_MAX_C3.tif,Second,Threshold Area,0.07,13.262,Caspase,Sym_Control,2dpl,
17,0.223,SC_2dpl_sample5_MAX_C3.tif,SC_2dpl_sample5_MAX_C3.tif,Hoechst,ROI Area,0,0,Caspase,Sym_Control,2dpl,
18,0.223,SC_2dpl_sample5_MAX_C3.tif,SC_2dpl_sample5_MAX_C4.tif,Second,Threshold Area,0.005,2.204,EdU,Sym_Control,2dpl,
19,0.223,SC_2dpl_sample5_MAX_C1.tif,SC_2dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,2dpl,
20,0.223,SC_2dpl_sample5_MAX_C1.tif,SC_2dpl_sample5_MAX_C3.tif,Second,Threshold Area,0.057,25.481,Caspase,Sym_Control,2dpl,
21,0.239,SC_5dpl_sample1_MAX_C1-1.tif,SC_5dpl_sample1_MAX_C1-1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
22,0.239,SC_5dpl_sample1_MAX_C1-1.tif,SC_5dpl_sample1_MAX_C4.tif,Second,Threshold Area,0.012,4.925,EdU,Sym_Control,5dpl,
23,0.239,SC_5dpl_sample1_MAX_C1-1.tif,SC_5dpl_sample1_MAX_C1-1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
24,0.239,SC_5dpl_sample1_MAX_C1-1.tif,SC_5dpl_sample1_MAX_C3-1.tif,Second,Threshold Area,4.81E-04,0.201,Caspase,Sym_Control,5dpl,
1,0.312,SC_5dpl_sample2_MAX_C1.tif,SC_5dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
2,0.312,SC_5dpl_sample2_MAX_C1.tif,SC_5dpl_sample2_MAX_C4.tif,Second,Threshold Area,0.013,4.245,EdU,Sym_Control,5dpl,
3,0.312,SC_5dpl_sample2_MAX_C1.tif,SC_5dpl_sample2_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
4,0.312,SC_5dpl_sample2_MAX_C1.tif,SC_5dpl_sample2_MAX_C3.tif,Second,Threshold Area,0.006,1.96,Caspase,Sym_Control,5dpl,
5,0.277,SC_5dpl_sample3_MAX_C1.tif,SC_5dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
6,0.277,SC_5dpl_sample3_MAX_C1.tif,SC_5dpl_sample3_MAX_C4.tif,Second,Threshold Area,0.028,10.233,EdU,Sym_Control,5dpl,
7,0.277,SC_5dpl_sample3_MAX_C1.tif,SC_5dpl_sample3_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
8,0.277,SC_5dpl_sample3_MAX_C1.tif,SC_5dpl_sample3_MAX_C3.tif,Second,Threshold Area,0.005,1.866,Caspase,Sym_Control,5dpl,
9,0.389,SC_5dpl_sample4_bad_MAX_C1.tif,SC_5dpl_sample4_bad_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
10,0.389,SC_5dpl_sample4_bad_MAX_C1.tif,SC_5dpl_sample4_bad_MAX_C3.tif,Second,Threshold Area,0.011,2.811,Caspase,Sym_Control,5dpl,
11,0.389,SC_5dpl_sample4_bad_MAX_C1.tif,SC_5dpl_sample4_bad_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
12,0.389,SC_5dpl_sample4_bad_MAX_C1.tif,SC_5dpl_sample4_bad_MAX_C4.tif,Second,Threshold Area,2.29E-04,0.059,EdU,Sym_Control,5dpl,
13,0.343,SC_5dpl_sample5_MAX_C1.tif,SC_5dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
14,0.343,SC_5dpl_sample5_MAX_C1.tif,SC_5dpl_sample5_MAX_C4.tif,Second,Threshold Area,0.006,1.626,EdU,Sym_Control,5dpl,
15,0.343,SC_5dpl_sample5_MAX_C1.tif,SC_5dpl_sample5_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
16,0.343,SC_5dpl_sample5_MAX_C1.tif,SC_5dpl_sample5_MAX_C3.tif,Second,Threshold Area,0.022,6.471,Caspase,Sym_Control,5dpl,
17,0.325,SC_5dpl_sample5_tent_MAX_C1.tif,SC_5dpl_sample5_tent_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
18,0.325,SC_5dpl_sample5_tent_MAX_C1.tif,SC_5dpl_sample5_tent_MAX_C4.tif,Second,Threshold Area,0.021,6.471,EdU,Sym_Control,5dpl,
19,0.325,SC_5dpl_sample5_tent_MAX_C1.tif,SC_5dpl_sample5_tent_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
20,0.325,SC_5dpl_sample5_tent_MAX_C1.tif,SC_5dpl_sample5_tent_MAX_C3.tif,Second,Threshold Area,0.031,9.499,Caspase,Sym_Control,5dpl,
21,0.358,SC_5dpl_sample6_MAX_C1.tif,SC_5dpl_sample6_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
22,0.358,SC_5dpl_sample6_MAX_C1.tif,SC_5dpl_sample6_MAX_C4.tif,Second,Threshold Area,0.026,7.352,EdU,Sym_Control,5dpl,
23,0.358,SC_5dpl_sample6_MAX_C1.tif,SC_5dpl_sample6_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
24,0.358,SC_5dpl_sample6_MAX_C1.tif,SC_5dpl_sample6_MAX_C3.tif,Second,Threshold Area,0.005,1.527,Caspase,Sym_Control,5dpl,
25,0.181,SC_5dpl_sample6_tent_MAX_C1.tif,SC_5dpl_sample6_tent_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
26,0.181,SC_5dpl_sample6_tent_MAX_C1.tif,SC_5dpl_sample6_tent_MAX_C4.tif,Second,Threshold Area,0.038,21.063,EdU,Sym_Control,5dpl,
27,0.181,SC_5dpl_sample6_tent_MAX_C1.tif,SC_5dpl_sample6_tent_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
28,0.181,SC_5dpl_sample6_tent_MAX_C1.tif,SC_5dpl_sample6_tent_MAX_C3.tif,Second,Threshold Area,0.003,1.804,Caspase,Sym_Control,5dpl,
29,0.352,SC_5dpl_sample7_MAX_C1.tif,SC_5dpl_sample7_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
30,0.352,SC_5dpl_sample7_MAX_C1.tif,SC_5dpl_sample7_MAX_C3.tif,Second,Threshold Area,0.017,4.896,Caspase,Sym_Control,5dpl,
31,0.352,SC_5dpl_sample7_MAX_C1.tif,SC_5dpl_sample7_MAX_C1.tif,Hoechst,ROI Area,0,0,Hoechst,Sym_Control,5dpl,
32,0.352,SC_5dpl_sample7_MAX_C1.tif,SC_5dpl_sample7_MAX_C4.tif,Second,Threshold Area,0.024,6.827,EdU,Sym_Control,5dpl,
