Tube #,ID,Plate ,Treatment,Line,Symbiosis,Well,Temp,Pedal Replicate Lacerate #,Day0,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day17,Day20,Day21
,CC7-APO-1_B3.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),2,0,0,0,0,1,3,5,5,5,6,7,7,7,7,7
,CC7-APO-1_A4,CC7-APO-1,CC7-APO-25C,CC7,Apo,A4,25C (ambient),1,0,0,0,0,3,6,6,8,8,8,8,8,8,8,8
,CC7-APO-1_A1,CC7-APO-1,CC7-APO-25C,CC7,Apo,A1,25C (ambient),1,0,0,0,2,4,5,5,5,5,6,8,8,8,8,8
,CC7-APO-1_B2,CC7-APO-1,CC7-APO-25C,CC7,Apo,B2,25C (ambient),1,0,0,0,2,4,5,6,6,6,8,8,8,8,8,8
,CC7-APO-1_C3,CC7-APO-1,CC7-APO-25C,CC7,Apo,C3,25C (ambient),1,0,0,0,4,4,6,8,8,8,8,8,8,8,8,8
,CC7-APO-1_B1,CC7-APO-1,CC7-APO-25C,CC7,Apo,B1,25C (ambient),1,0,0,0,1,5,7,7,7,7,8,8,8,8,8,8
,CC7-APO-1_B3.1,CC7-APO-1,CC7-APO-25C,CC7,Apo,B3,25C (ambient),1,0,0,0,5,5,5,7,7,7,7,8,8,8,8,8
,CC7-APO-1_B4,CC7-APO-1,CC7-APO-25C,CC7,Apo,B4,25C (ambient),1,0,0,0,5,5,6,7,7,7,8,8,8,8,8,8
,CC7-APO-1_C1,CC7-APO-1,CC7-APO-25C,CC7,Apo,C1,25C (ambient),1,0,0,0,4,5,5,6,6,6,7,7,7,8,8,8
,CC7-APO-1_A2,CC7-APO-1,CC7-APO-25C,CC7,Apo,A2,25C (ambient),1,0,0,0,6,10,10,10,9,9,9,9,9,9,9,9
,CC7-APO-1_C2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C2,25C (ambient),1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-APO-1_C4.1,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-APO-1_C4.2,CC7-APO-1,CC7-APO-25C,CC7,Apo,C4,25C (ambient),2,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-APO-1_A3,CC7-APO-1,CC7-APO-25C,CC7,Apo,A3,25C (ambient),1,0,0,0,2,4,4,4,4,4,7,8,8,x,x,x
,CC7-APO-3_C1,CC7-APO-3,CC7-APO-25C,CC7,Apo,C1,25C (ambient),1,0,0,1,4,4,5,6,6,6,6,6,6,6,6,6
,CC7-APO-3_C4,CC7-APO-3,CC7-APO-25C,CC7,Apo,C4,25C (ambient),1,0,0,1,3,5,6,6,6,6,6,6,6,6,6,6
,CC7-APO-3_B2,CC7-APO-3,CC7-APO-25C,CC7,Apo,B2,25C (ambient),1,0,0,1,0,1,1,1,3,3,6,8,8,8,8,8
,CC7-APO-3_B1,CC7-APO-3,CC7-APO-25C,CC7,Apo,B1,25C (ambient),1,0,0,3,4,6,7,8,8,8,8,8,8,8,8,8
,CC7-APO-3_B3,CC7-APO-3,CC7-APO-25C,CC7,Apo,B3,25C (ambient),1,0,0,0,3,6,8,8,8,8,8,8,8,8,8,8
,CC7-APO-3_B4,CC7-APO-3,CC7-APO-25C,CC7,Apo,B4,25C (ambient),1,0,0,0,1,6,6,7,7,7,7,8,8,8,8,8
,CC7-APO-3_C3,CC7-APO-3,CC7-APO-25C,CC7,Apo,C3,25C (ambient),1,0,0,1,5,6,7,7,7,7,8,8,8,8,8,8
,CC7-APO-3_C2,CC7-APO-3,CC7-APO-25C,CC7,Apo,C2,25C (ambient),1,0,0,2,6,8,8,8,8,8,8,8,8,8,8,8
,CC7-APO-3_A1,CC7-APO-3,CC7-APO-25C,CC7,Apo,A1,25C (ambient),1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-APO-3_A2,CC7-APO-3,CC7-APO-25C,CC7,Apo,A2,25C (ambient),1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-APO-3_A3,CC7-APO-3,CC7-APO-25C,CC7,Apo,A3,25C (ambient),1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-APO-3_A4,CC7-APO-3,CC7-APO-25C,CC7,Apo,A4,25C (ambient),1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-Sym-1_B2,CC7-Sym-1,CC7-SYM-25C,CC7,Sym,B2,25C (ambient),1,0,0,0,0,0,0,0,0,0,0,1,1,6,7,8
,CC7-Sym-1_C2,CC7-Sym-1,CC7-SYM-25C,CC7,Sym,C2,25C (ambient),1,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8
,CC7-Sym-1_B4,CC7-Sym-1,CC7-SYM-25C,CC7,Sym,B4,25C (ambient),1,0,0,0,0,0,1,6,10,10,10,10,10,10,10,10
,CC7-Sym-1_C3,CC7-Sym-1,CC7-SYM-25C,CC7,Sym,C3,25C (ambient),1,0,0,0,0,5,8,8,8,8,8,11,11,11,11,11
,CC7-Sym-1_C4,CC7-Sym-1,CC7-SYM-25C,CC7,Sym,C4,25C (ambient),1,0,0,0,0,0,1,5,11,11,11,12,14,14,14,14
,CC7-Sym-1_A2,CC7-Sym-1,CC7-SYM-25C,CC7,Sym,A2,25C (ambient),1,0,x,x,x,x,f,f,f,f,f,f,f,f,f,f
,CC7-Sym-1_A3,CC7-Sym-1,CC7-SYM-25C,CC7,Sym,A3,25C (ambient),1,0,x,x,x,x,f,f,f,f,f,f,f,f,f,f
,CC7-Sym-1_B1,CC7-Sym-1,CC7-SYM-25C,CC7,Sym,B1,25C (ambient),1,0,x,x,x,x,f,f,f,f,f,f,f,f,f,f
,CC7-Sym-1_C1,CC7-Sym-1,CC7-SYM-25C,CC7,Sym,C1,25C (ambient),1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-Sym-1_A1,CC7-Sym-1,CC7-SYM-25C,CC7,Sym,A1,25C (ambient),1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-Sym-1_A4,CC7-Sym-1,CC7-SYM-25C,CC7,Sym,A4,25C (ambient),1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-Sym-1_B3,CC7-Sym-1,CC7-SYM-25C,CC7,Sym,B3,25C (ambient),1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-Sym-3_C2,CC7-Sym-3,CC7-SYM-25C,CC7,Sym,C2,25C (ambient),1,0,0,0,0,0,0,0,2,2,3,6,6,6,6,6
,CC7-Sym-3_C1,CC7-Sym-3,CC7-SYM-25C,CC7,Sym,C1,25C (ambient),1,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8
,CC7-Sym-3_B3,CC7-Sym-3,CC7-SYM-25C,CC7,Sym,B3,25C (ambient),1,0,0,0,0,3,4,9,9,9,9,10,10,10,10,11
,CC7-Sym-3_A2,CC7-Sym-3,CC7-SYM-25C,CC7,Sym,A2,25C (ambient),1,0,0,0,0,2,f,f,f,f,f,f,f,f,f,f
,CC7-Sym-3_A3,CC7-Sym-3,CC7-SYM-25C,CC7,Sym,A3,25C (ambient),1,0,x,x,x,x,f,f,f,f,f,f,f,f,f,f
,CC7-Sym-3_B1,CC7-Sym-3,CC7-SYM-25C,CC7,Sym,B1,25C (ambient),1,0,x,x,x,x,f,f,f,f,f,f,f,f,f,f
,CC7-Sym-3_A4,CC7-Sym-3,CC7-SYM-25C,CC7,Sym,A4,25C (ambient),1,0,0,0,0,2,x,x,x,x,x,x,x,x,x,x
,CC7-Sym-3_B4,CC7-Sym-3,CC7-SYM-25C,CC7,Sym,B4,25C (ambient),1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-Sym-3_C3,CC7-Sym-3,CC7-SYM-25C,CC7,Sym,C3,25C (ambient),1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-Sym-3_C4.1,CC7-Sym-3,CC7-SYM-25C,CC7,Sym,C4,25C (ambient),1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-Sym-3_A1,CC7-Sym-3,CC7-SYM-25C,CC7,Sym,A1,25C (ambient),1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-Sym-3_B2,CC7-Sym-3,CC7-SYM-25C,CC7,Sym,B2,25C (ambient),1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-Sym-3_C4.2,CC7-Sym-3,CC7-SYM-25C,CC7,Sym,C4,25C (ambient),2,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,CC7-Sym-5_C3,CC7-Sym-5,CC7-SYM-25C,CC7,Sym,C3,25C (ambient),1,0,0,0,0,0,0,5,8,8,8,8,8,8,8,8
,CC7-Sym-5_B2,CC7-Sym-5,CC7-SYM-25C,CC7,Sym,B2,25C (ambient),1,0,0,0,4,6,6,6,7,7,8,8,8,8,8,8
