lacerate_id,parent_id,tub_id,formation_date,cohort_week,initial_notes,removal_date,cohort,genotype,temp,treatment,observer
P1_VWA_32_Tub1_Lacerate 1,P1_VWA_32_Tub1,VWA_32_Tub1,2026-02-09,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Grady
PX_VWA_32_Tub1_Lacerate 2,Unknown,VWA_32_Tub1,2026-02-09,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Grady
PX_VWA_32_Tub2_Lacerate 1,Unknown,VWA_32_Tub2,2026-02-09,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Grady
PX_VWA_32_Tub2_Lacerate 2,Unknown,VWA_32_Tub2,2026-02-09,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Grady
P2_VWA_32_Tub3_Lacerate 1,P2_VWA_32_Tub3,VWA_32_Tub3,2026-02-09,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Grady
PX_VWA_32_Tub3_Lacerate 2,Unknown,VWA_32_Tub3,2026-02-09,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Grady
P2_VWA_32_Tub3_Lacerate 3,P2_VWA_32_Tub3,VWA_32_Tub3,2026-02-09,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Grady
P2_H2_32_Tub1_Lacerate 1,P2_H2_32_Tub1,H2_32_Tub1,2026-02-09,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P3_H2_32_Tub1_Lacerate 2,P3_H2_32_Tub1,H2_32_Tub1,2026-02-09,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P2_H2_32_Tub1_Lacerate 3,P2_H2_32_Tub1,H2_32_Tub1,2026-02-09,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub2_Lacerate 1,P1_H2_32_Tub2,H2_32_Tub2,2026-02-09,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P2_H2_32_Tub2_Lacerate 2,P2_H2_32_Tub2,H2_32_Tub2,2026-02-09,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
PX_VWA_25_Tub2_Lacerate 1,Unknown,VWA_25_Tub2,2026-02-09,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
PX_VWA_25_Tub2_Lacerate 2,Unknown,VWA_25_Tub2,2026-02-09,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
PX_VWA_25_Tub2_Lacerate 3,Unknown,VWA_25_Tub2,2026-02-09,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
PX_VWA_25_Tub2_Lacerate 4,Unknown,VWA_25_Tub2,2026-02-09,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P3_H2_25_Tub1_Lacerate 1,P3_H2_25_Tub1,H2_25_Tub1,2026-02-09,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
PX_VWA_32_Tub3_Lacerate 4,Unknown,VWA_32_Tub3,2026-02-11,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Grady
P3_H2_25_Tub1_Lacerate 2,P3_H2_25_Tub1,H2_25_Tub1,2026-02-13,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Aiden
P3_H2_25_Tub1_Lacerate 3,P3_H2_25_Tub1,H2_25_Tub1,2026-02-13,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Aiden
P3_H2_25_Tub1_Lacerate 4,P3_H2_25_Tub1,H2_25_Tub1,2026-02-13,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Aiden
P3_H2_25_Tub1_Lacerate 5,P3_H2_25_Tub1,H2_25_Tub1,2026-02-13,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Aiden
P1_VWA_25_Tub1_Lacerate 1,P1_VWA_25_Tub1,VWA_25_Tub1,2026-02-13,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Aiden
P2_H2_32_Tub2_Lacerate 3,P2_H2_32_Tub2,H2_32_Tub2,2026-02-13,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Aiden
P1_VWA_32_Tub2_Lacerate 3,P1_VWA_32_Tub2,VWA_32_Tub2,2026-02-13,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Aiden
P1_VWA_32_Tub2_Lacerate 4,P1_VWA_32_Tub2,VWA_32_Tub2,2026-02-13,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Aiden
P3_H2_25_Tub2_Lacerate 1,P3_H2_25_Tub2,H2_25_Tub2,2026-02-16,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P1_H2_25_Tub2_Lacerate 2,P1_H2_25_Tub2,H2_25_Tub2,2026-02-16,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P1_H2_25_Tub2_Lacerate 3,P1_H2_25_Tub2,H2_25_Tub2,2026-02-16,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P1_H2_25_Tub2_Lacerate 4,P1_H2_25_Tub2,H2_25_Tub2,2026-02-16,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P2_H2_25_Tub2_Lacerate 5,P2_H2_25_Tub2,H2_25_Tub2,2026-02-16,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P3_H2_25_Tub3_Lacerate 1,P3_H2_25_Tub3,H2_25_Tub3,2026-02-16,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P3_H2_25_Tub3_Lacerate 2,P3_H2_25_Tub3,H2_25_Tub3,2026-02-16,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P2_H2_25_Tub3_Lacerate 3,P2_H2_25_Tub3,H2_25_Tub3,2026-02-16,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P1_VWA_32_Tub1_Lacerate 3,P1_VWA_32_Tub1,VWA_32_Tub1,2026-02-16,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Grady
P1_VWA_32_Tub1_Lacerate 4,P1_VWA_32_Tub1,VWA_32_Tub1,2026-02-16,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Grady
P1_VWA_32_Tub3_Lacerate 5,P1_VWA_32_Tub3,VWA_32_Tub3,2026-02-16,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Grady
PX_H2_32_Tub1_Lacerate 4,PX_H2_32_Tub1,H2_32_Tub1,2026-02-16,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub1_Lacerate 5,P1_H2_32_Tub1,H2_32_Tub1,2026-02-16,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P3_H2_32_Tub1_Lacerate 6,P3_H2_32_Tub1,H2_32_Tub1,2026-02-16,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub2_Lacerate 4,P1_H2_32_Tub2,H2_32_Tub2,2026-02-16,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub3_Lacerate 1,P1_H2_32_Tub3,H2_32_Tub3,2026-02-16,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P2_H2_32_Tub3_Lacerate 2,P2_H2_32_Tub3,H2_32_Tub3,2026-02-16,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P3_H2_25_Tub1_Lacerate 6,P3_H2_25_Tub1,H2_25_Tub1,2026-02-16,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P1_H2_25_Tub1_Lacerate 7,P1_H2_25_Tub1,H2_25_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P3_H2_25_Tub1_Lacerate 8,P3_H2_25_Tub1,H2_25_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P2_H2_25_Tub2_Lacerate 6,P2_H2_25_Tub2,H2_25_Tub2,2026-02-18,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P2_H2_25_Tub2_Lacerate 7,P2_H2_25_Tub2,H2_25_Tub2,2026-02-18,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P2_H2_25_Tub3_Lacerate 4,P2_H2_25_Tub3,H2_25_Tub3,2026-02-18,W1-2,,2026-02-23,W1-2,H2,25,H2_25,Grady
P1_VWA_25_Tub1_Lacerate 2,P1_VWA_25_Tub1,VWA_25_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P1_VWA_25_Tub1_Lacerate 3,P1_VWA_25_Tub1,VWA_25_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P1_VWA_25_Tub1_Lacerate 4,P1_VWA_25_Tub1,VWA_25_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P1_VWA_25_Tub1_Lacerate 5,P1_VWA_25_Tub1,VWA_25_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P1_VWA_25_Tub1_Lacerate 6,P1_VWA_25_Tub1,VWA_25_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P1_VWA_25_Tub1_Lacerate 7,P1_VWA_25_Tub1,VWA_25_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P1_VWA_25_Tub1_Lacerate 8,P1_VWA_25_Tub1,VWA_25_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P2_VWA_25_Tub1_Lacerate 9,P2_VWA_25_Tub1,VWA_25_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P2_VWA_25_Tub2_Lacerate 5,P2_VWA_25_Tub2,VWA_25_Tub2,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P2_VWA_25_Tub2_Lacerate 6,P1_VWA_25_Tub2,VWA_25_Tub2,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P2_VWA_25_Tub2_Lacerate 7,P1_VWA_25_Tub2,VWA_25_Tub2,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P2_VWA_25_Tub2_Lacerate 8,P1_VWA_25_Tub2,VWA_25_Tub2,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P2_VWA_25_Tub2_Lacerate 9,P1_VWA_25_Tub2,VWA_25_Tub2,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P2_VWA_25_Tub2_Lacerate 10,P1_VWA_25_Tub2,VWA_25_Tub2,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P2_VWA_25_Tub2_Lacerate 11,P1_VWA_25_Tub2,VWA_25_Tub2,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P1_VWA_25_Tub3_Lacerate 1,P1_VWA_25_Tub3,VWA_25_Tub3,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P2_VWA_25_Tub3_Lacerate 2,P2_VWA_25_Tub3,VWA_25_Tub3,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,25,VWA_25,Grady
P2_H2_32_Tub1_Lacerate 7,P2_H2_32_Tub1,H2_32_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P2_H2_32_Tub1_Lacerate 8,P2_H2_32_Tub1,H2_32_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P2_H2_32_Tub1_Lacerate 9,P2_H2_32_Tub1,H2_32_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub1_Lacerate 10,P1_H2_32_Tub1,H2_32_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub1_Lacerate 11,P1_H2_32_Tub1,H2_32_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_H2_32_Tub2_Lacerate 5,P1_H2_32_Tub2,H2_32_Tub2,2026-02-18,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P2_H2_32_Tub2_Lacerate 6,P2_H2_32_Tub2,H2_32_Tub2,2026-02-18,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P2_H2_32_Tub2_Lacerate 7,P2_H2_32_Tub2,H2_32_Tub2,2026-02-18,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
PX_H2_32_Tub2_Lacerate 8,PX_H2_32_Tub2,H2_32_Tub2,2026-02-18,W1-2,,2026-02-23,W1-2,H2,32,H2_32,Grady
P1_VWA_32_Tub1_Lacerate 5,P1_VWA_32_Tub1,VWA_32_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Grady
P1_VWA_32_Tub1_Lacerate 6,P1_VWA_32_Tub1,VWA_32_Tub1,2026-02-18,W1-2,,2026-02-23,W1-2,VWA,32,VWA_32,Grady
