date,week,observer,parent_id,pedal_disc_diameter_mm,pedal_disc_area_mm2,image_id,FvFm,health_note,genotype,temp,parent_id,tub_id
2026-02-11,W1,Grady,P1_H2_25_Tub1,6.841,,IMG_0019,0.713,healthy,H2,25,P1_H2_25_Tub1,H2_25_Tub1
2026-02-11,W1,Grady,P2_H2_25_Tub1,5.281,,IMG_0018,0.694,healthy,H2,25,P2_H2_25_Tub1,H2_25_Tub1
2026-02-11,W1,Grady,P3_H2_25_Tub1,6.866,,IMG_0017,0.526,healthy,H2,25,P3_H2_25_Tub1,H2_25_Tub1
2026-02-11,W1,Grady,P1_H2_25_Tub2,3.46,,IMG_0020,0.748,healthy,H2,25,P1_H2_25_Tub2,H2_25_Tub2
2026-02-11,W1,Grady,P2_H2_25_Tub2,4.526,,IMG_0021,0.658,healthy,H2,25,P2_H2_25_Tub2,H2_25_Tub2
2026-02-11,W1,Grady,P3_H2_25_Tub2,3.296,,IMG_0022,0.943,healthy,H2,25,P3_H2_25_Tub2,H2_25_Tub2
2026-02-11,W1,Grady,P1_H2_25_Tub3,6.059,,IMG_0023,0.627,healthy,H2,25,P1_H2_25_Tub3,H2_25_Tub3
2026-02-11,W1,Grady,P2_H2_25_Tub3,5.79,,IMG_0023,0.601,healthy,H2,25,P2_H2_25_Tub3,H2_25_Tub3
2026-02-11,W1,Grady,P3_H2_25_Tub3,4.167,,IMG_0024,0.694,healthy,H2,25,P3_H2_25_Tub3,H2_25_Tub3
2026-02-11,W1,Grady,P1_VWA_25_Tub1,4.441,,IMG_0025,0.753,healthy,VWA,25,P1_VWA_25_Tub1,VWA_25_Tub1
2026-02-11,W1,Grady,P2_VWA_25_Tub1,5.381,,IMG_0026,0.705,healthy,VWA,25,P2_VWA_25_Tub1,VWA_25_Tub1
2026-02-11,W1,Grady,P3_VWA_25_Tub1,6.305,,IMG_0027,0.637,healthy,VWA,25,P3_VWA_25_Tub1,VWA_25_Tub1
2026-02-11,W1,Grady,P1_VWA_25_Tub2,7.397,,IMG_0028,0.524,healthy,VWA,25,P1_VWA_25_Tub2,VWA_25_Tub2
2026-02-11,W1,Grady,P2_VWA_25_Tub2,6.404,,IMG_0029,0.784,healthy,VWA,25,P2_VWA_25_Tub2,VWA_25_Tub2
2026-02-11,W1,Grady,P3_VWA_25_Tub2,2.578,,IMG_0030,0.961,healthy,VWA,25,P3_VWA_25_Tub2,VWA_25_Tub2
2026-02-11,W1,Grady,P1_VWA_25_Tub3,6.289,,IMG_0031,0.871,healthy,VWA,25,P1_VWA_25_Tub3,VWA_25_Tub3
2026-02-11,W1,Grady,P2_VWA_25_Tub3,3.036,,IMG_0032,0.807,healthy,VWA,25,P2_VWA_25_Tub3,VWA_25_Tub3
2026-02-11,W1,Grady,P3_VWA_25_Tub3,3.601,,IMG_0033,0.649,healthy,VWA,25,P3_VWA_25_Tub3,VWA_25_Tub3
2026-02-11,W1,Grady,P1_H2_32_Tub1,6.001,,IMG_0001,0.557,healthy,H2,32,P1_H2_32_Tub1,H2_32_Tub1
2026-02-11,W1,Grady,P2_H2_32_Tub1,3.703,,IMG_0002,0.88,healthy,H2,32,P2_H2_32_Tub1,H2_32_Tub1
2026-02-11,W1,Grady,P3_H2_32_Tub1,4.339,,IMG_0002,0.826,healthy,H2,32,P3_H2_32_Tub1,H2_32_Tub1
2026-02-11,W1,Grady,P1_H2_32_Tub2,4.539,,IMG_0003,0.544,healthy,H2,32,P1_H2_32_Tub2,H2_32_Tub2
2026-02-11,W1,Grady,P2_H2_32_Tub2,5.001,,IMG_0004,0.636,healthy,H2,32,P2_H2_32_Tub2,H2_32_Tub2
2026-02-11,W1,Grady,P3_H2_32_Tub2,4.368,,IMG_0005,0.885,healthy,H2,32,P3_H2_32_Tub2,H2_32_Tub2
2026-02-11,W1,Grady,P1_H2_32_Tub3,5.127,,IMG_0006,0.752,healthy,H2,32,P1_H2_32_Tub3,H2_32_Tub3
2026-02-11,W1,Grady,P2_H2_32_Tub3,5.346,,IMG_0007,0.755,healthy,H2,32,P2_H2_32_Tub3,H2_32_Tub3
2026-02-11,W1,Grady,P3_H2_32_Tub3,4.781,,IMG_0008,0.68,healthy,H2,32,P3_H2_32_Tub3,H2_32_Tub3
2026-02-11,W1,Grady,P1_VWA_32_Tub1,5.704,,IMG_0009,0.909,healthy,VWA,32,P1_VWA_32_Tub1,VWA_32_Tub1
2026-02-11,W1,Grady,P2_VWA_32_Tub1,4.915,,IMG_0010,0.787,healthy,VWA,32,P2_VWA_32_Tub1,VWA_32_Tub1
2026-02-11,W1,Grady,P3_VWA_32_Tub1,4.209,,IMG_0011,0.94,healthy,VWA,32,P3_VWA_32_Tub1,VWA_32_Tub1
2026-02-11,W1,Grady,P1_VWA_32_Tub2,6.1,,IMG_0012,0.6,healthy,VWA,32,P1_VWA_32_Tub2,VWA_32_Tub2
2026-02-11,W1,Grady,P2_VWA_32_Tub2,2.837,,IMG_0013,0.525,healthy,VWA,32,P2_VWA_32_Tub2,VWA_32_Tub2
2026-02-11,W1,Grady,P3_VWA_32_Tub2,5.585,,IMG_0014,0.608,healthy,VWA,32,P3_VWA_32_Tub2,VWA_32_Tub2
2026-02-11,W1,Grady,P1_VWA_32_Tub3,5.291,,IMG_0015,0.825,healthy,VWA,32,P1_VWA_32_Tub3,VWA_32_Tub3
2026-02-11,W1,Grady,P2_VWA_32_Tub3,4.347,,IMG_0016,0.796,healthy,VWA,32,P2_VWA_32_Tub3,VWA_32_Tub3
2026-02-11,W1,Grady,P3_VWA_32_Tub3,4.13,,IMG_0016,0.435,healthy,VWA,32,P3_VWA_32_Tub3,VWA_32_Tub3
2026-02-18,W2,Grady,P1_H2_25_Tub1,7.786,N/A,IMG_0025,0.714,healthy,H2,25,P1_H2_25_Tub1,H2_25_Tub1
2026-02-18,W2,Grady,P2_H2_25_Tub1,7.369,38.355,IMG_0023,0.654,healthy,H2,25,P2_H2_25_Tub1,H2_25_Tub1
2026-02-18,W2,Grady,P3_H2_25_Tub1,8.9,70.116,IMG_0024,0.766,healthy,H2,25,P3_H2_25_Tub1,H2_25_Tub1
2026-02-18,W2,Grady,P1_H2_25_Tub2,5.875,22.475,IMG_0027,0.614,healthy,H2,25,P1_H2_25_Tub2,H2_25_Tub2
2026-02-18,W2,Grady,P2_H2_25_Tub2,6.217,32.117,IMG_0026,0.856,healthy,H2,25,P2_H2_25_Tub2,H2_25_Tub2
2026-02-18,W2,Grady,P3_H2_25_Tub2,4.28,9.507,IMG_0028,0.874,healthy,H2,25,P3_H2_25_Tub2,H2_25_Tub2
2026-02-18,W2,Grady,P1_H2_25_Tub3,8.633,50.436,IMG_0029,0.727,healthy,H2,25,P1_H2_25_Tub3,H2_25_Tub3
2026-02-18,W2,Grady,P2_H2_25_Tub3,8.308,48.93,IMG_0029,0.928,healthy,H2,25,P2_H2_25_Tub3,H2_25_Tub3
2026-02-18,W2,Grady,P3_H2_25_Tub3,5.584,50.154,IMG_0030,0.774,healthy,H2,25,P3_H2_25_Tub3,H2_25_Tub3
2026-02-18,W2,Grady,P1_VWA_25_Tub1,7.098,37.613,IMG_0016,0.501,healthy,VWA,25,P1_VWA_25_Tub1,VWA_25_Tub1
2026-02-18,W2,Grady,P2_VWA_25_Tub1,7.338,29.058,IMG_0017,0.885,healthy,VWA,25,P2_VWA_25_Tub1,VWA_25_Tub1
2026-02-18,W2,Grady,P3_VWA_25_Tub1,9.769,66.966,IMG_0015,0.685,healthy,VWA,25,P3_VWA_25_Tub1,VWA_25_Tub1
2026-02-18,W2,Grady,P1_VWA_25_Tub2,8.778,52.963,IMG_0019,0.667,healthy,VWA,25,P1_VWA_25_Tub2,VWA_25_Tub2
2026-02-18,W2,Grady,P2_VWA_25_Tub2,6.739,30.638,IMG_0019,0.739,healthy,VWA,25,P2_VWA_25_Tub2,VWA_25_Tub2
2026-02-18,W2,Grady,P3_VWA_25_Tub2,3.885,10.885,IMG_0018,0.861,healthy,VWA,25,P3_VWA_25_Tub2,VWA_25_Tub2
2026-02-18,W2,Grady,P1_VWA_25_Tub3,7.858,38.787,IMG_0022,0.591,healthy,VWA,25,P1_VWA_25_Tub3,VWA_25_Tub3
