,label,area,Min Threshold,Max Threshold,type,percent_raw,region,plate,notes,calculation,well,treatment,genotype,temperature,symbiotic_state
1,A1-bf-Snap-371.czi,2555.779,0,65535,Tentacle Area,0,Tentacle,H2-32,,n/a,A1-H2-32,H2-32,H2,32,sym
2,A1-fl-Snap-370.czi,410.827,1207,65535,Symbiont Area,16.074,Tentacle,H2-32,,16.07443367,A1-H2-32,H2-32,H2,32,sym
3,A1-bf-Snap-371.czi,1133.884,0,65535,Tentacle Area,10.49,Tentacle,H2-32,,n/a,A1-H2-32,H2-32,H2,32,sym
4,A1-fl-Snap-370.czi,104.22,1269,65535,Symbiont Area,9.191,Tentacle,H2-32,,9.191416406,A1-H2-32,H2-32,H2,32,sym
5,A1-bf-Snap-371.czi,939.065,0,65535,Tentacle Area,16.074,Tentacle,H2-32,,n/a,A1-H2-32,H2-32,H2,32,sym
6,A1-fl-Snap-370.czi,105.518,1395,65535,Symbiont Area,11.236,Tentacle,H2-32,,11.23649588,A1-H2-32,H2-32,H2,32,sym
7,A1-bf-Snap-371.czi,2103.437,0,65535,Tentacle Area,0,Tentacle,H2-32,,n/a,A1-H2-32,H2-32,H2,32,sym
8,A1-fl-Snap-370.czi,270.065,987,65535,Symbiont Area,12.839,Tentacle,H2-32,,12.83922456,A1-H2-32,H2-32,H2,32,sym
9,A1-bf-Snap-371.czi,928.47,0,65535,Tentacle Area,0,Tentacle,H2-32,,n/a,A1-H2-32,H2-32,H2,32,sym
10,A1-fl-Snap-370.czi,91.463,1348,65535,Symbiont Area,9.851,Tentacle,H2-32,,9.850937564,A1-H2-32,H2-32,H2,32,sym
11,A2-bf-Snap-373.czi,3810.749,0,65535,Tentacle Area,0,Tentacle,H2-32,,n/a,A2-H2-32,H2-32,H2,32,sym
12,A2-fl-Snap-372.czi,716.57,1281,65535,Symbiont Area,18.804,Tentacle,H2-32,,18.80391493,A2-H2-32,H2-32,H2,32,sym
13,A2-bf-Snap-373.czi,1419.733,0,65535,Tentacle Area,0,Tentacle,H2-32,,n/a,A2-H2-32,H2-32,H2,32,sym
14,A2-fl-Snap-372.czi,142.492,717,65535,Symbiont Area,10.037,Tentacle,H2-32,,10.03653504,A2-H2-32,H2-32,H2,32,sym
15,A2-bf-Snap-373.czi,1320.27,0,65535,Tentacle Area,0,Tentacle,H2-32,,n/a,A2-H2-32,H2-32,H2,32,sym
16,A2-fl-Snap-372.czi,287.795,1175,65535,Symbiont Area,21.798,Tentacle,H2-32,,21.79819279,A2-H2-32,H2-32,H2,32,sym
