,label,area,Min Threshold,Max Threshold,type,percent_raw,region,plate,notes,calculation,well,treatment,genotype,temperature,symbiotic_state,cohort
,A1-bf/fl-738/739.czi,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,REMOVED,H2-25,"Contracted tentacle, difficult to analyze because brightfield image is too dark, can't see tentacles, not measureable. ",REMOVED,A1-H2-25,H2-25,H2,25,sym,W9-10
,A2-bf-Snap-741.czi,2066.246,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A2-H2-25,H2-25,H2,25,sym,W9-10
,A2-fl-Snap-740.czi,1562.658,1564,65535,Symbiont Area,75.628,Tentacle,H2-25,,75.6278778,A2-H2-25,H2-25,H2,25,sym,W9-10
,A2-bf-Snap-741.czi,560.239,0,65535,Tentacle Area,75.628,Tentacle,H2-25,,n/a,A2-H2-25,H2-25,H2,25,sym,W9-10
,A2-fl-Snap-740.czi,397.205,1277,65535,Symbiont Area,70.899,Tentacle,H2-25,,70.89920552,A2-H2-25,H2-25,H2,25,sym,W9-10
,A2-bf-Snap-741.czi,639.377,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A2-H2-25,H2-25,H2,25,sym,W9-10
,A2-fl-Snap-740.czi,346.609,1564,65535,Symbiont Area,54.21,Tentacle,H2-25,,54.21042671,A2-H2-25,H2-25,H2,25,sym,W9-10
,A2-bf-Snap-741.czi,11925.674,0,65535,Tentacle Area,0,Body column,H2-25,,n/a,A2-H2-25,H2-25,H2,25,sym,W9-10
,A2-fl-Snap-740.czi,2852.224,517,65535,Symbiont Area,23.917,Body column,H2-25,,23.9166692,A2-H2-25,H2-25,H2,25,sym,W9-10
,A3-bf-Snap-743.czi,12509.914,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A3-H2-25,H2-25,H2,25,sym,W9-10
,A3-fl-Snap-742.czi,3748.477,1362,65535,Symbiont Area,29.964,Tentacle,H2-25,,29.96405091,A3-H2-25,H2-25,H2,25,sym,W9-10
,A3-bf-Snap-743.czi,3060.016,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A3-H2-25,H2-25,H2,25,sym,W9-10
,A3-fl-Snap-742.czi,1395.732,1044,65535,Symbiont Area,45.612,Tentacle,H2-25,,45.61191837,A3-H2-25,H2-25,H2,25,sym,W9-10
,A3-bf-Snap-743.czi,1583.199,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A3-H2-25,H2-25,H2,25,sym,W9-10
,A3-fl-Snap-742.czi,605.862,560,65535,Symbiont Area,38.268,Tentacle,H2-25,,38.26821518,A3-H2-25,H2-25,H2,25,sym,W9-10
,A3-bf-Snap-743.czi,13252.214,0,65535,Tentacle Area,0,Body column,H2-25,,n/a,A3-H2-25,H2-25,H2,25,sym,W9-10
,A3-fl-Snap-742.czi,3343.271,499,65535,Symbiont Area,25.228,Body column,H2-25,,25.2280185,A3-H2-25,H2-25,H2,25,sym,W9-10
,A4-bf-Snap-745.czi,4653.594,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A4-H2-25,H2-25,H2,25,sym,W9-10
,A4-fl-Snap-744.czi,1418.436,694,65535,Symbiont Area,30.48,Tentacle,H2-25,,30.48044157,A4-H2-25,H2-25,H2,25,sym,W9-10
,A4-bf-Snap-745.czi,2741.949,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A4-H2-25,H2-25,H2,25,sym,W9-10
,A4-fl-Snap-744.czi,1406.111,1096,65535,Symbiont Area,51.281,Tentacle,H2-25,,51.28144251,A4-H2-25,H2-25,H2,25,sym,W9-10
,A4-bf-Snap-745.czi,9558.442,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A4-H2-25,H2-25,H2,25,sym,W9-10
,A4-fl-Snap-744.czi,2084.841,638,65535,Symbiont Area,21.812,Tentacle,H2-25,,21.81151489,A4-H2-25,H2-25,H2,25,sym,W9-10
,A4-bf-Snap-745.czi,2215.441,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A4-H2-25,H2-25,H2,25,sym,W9-10
,A4-fl-Snap-744.czi,1248.051,957,65535,Symbiont Area,56.334,Tentacle,H2-25,,56.33420163,A4-H2-25,H2-25,H2,25,sym,W9-10
,A4-bf-Snap-745.czi,4642.999,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A4-H2-25,H2-25,H2,25,sym,W9-10
,A4-fl-Snap-744.czi,1482.439,708,65535,Symbiont Area,31.928,Tentacle,H2-25,,31.92847985,A4-H2-25,H2-25,H2,25,sym,W9-10
,A4-bf-Snap-745.czi,2164.628,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A4-H2-25,H2-25,H2,25,sym,W9-10
,A4-fl-Snap-744.czi,1011.501,1041,65535,Symbiont Area,46.729,Tentacle,H2-25,,46.72862958,A4-H2-25,H2-25,H2,25,sym,W9-10
,A4-bf-Snap-745.czi,2333.933,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A4-H2-25,H2-25,H2,25,sym,W9-10
,A4-fl-Snap-744.czi,1081.99,1027,65535,Symbiont Area,46.359,Tentacle,H2-25,,46.35908571,A4-H2-25,H2-25,H2,25,sym,W9-10
,A5-bf-Snap-747.czi,1345.568,0,65535,Tentacle Area,0,Tentacle,H2-25,,n/a,A5-H2-25,H2-25,H2,25,sym,W9-10
