marker,state,term,Sum Sq,Df,F value,Pr(>F)
EdU,Apo,heat,169.29939637286714,1,5.863298340005939,0.022453420643381024
EdU,Apo,time,23.169541183539422,3,0.2674747326740775,0.8482426933964808
EdU,Apo,heat:time,109.69794485768887,3,1.2663793487870774,0.3056962683833153
EdU,Apo,Residuals,779.6096048666666,27,NA,NA
EdU,Inoc,heat,134.44273209586345,1,5.2223903752287635,0.031048276370816752
EdU,Inoc,time,955.3036035826149,2,18.554250821137185,1.1477887330958061e-5
EdU,Inoc,heat:time,98.00409312690795,2,1.9034708113267174,0.17003397270741905
EdU,Inoc,Residuals,643.5881006404767,25,NA,NA
EdU,Sym,heat,31.42506697544968,1,1.3719453956575949,0.24714228714733547
EdU,Sym,time,103.32414004048155,3,1.503630613310101,0.22526251015737342
EdU,Sym,heat:time,27.97399650189527,3,0.4070932262334788,0.7485734557109347
EdU,Sym,Residuals,1122.3684897888888,49,NA,NA
Caspase,Apo,heat,46.41912199045237,1,0.573131209503221,0.4551246447935867
Caspase,Apo,time,614.5471543155995,3,2.5292461292288637,0.07675331230094476
Caspase,Apo,heat:time,196.52553750954803,3,0.808825574327501,0.49931232163423955
Caspase,Apo,Residuals,2348.772000900002,29,NA,NA
Caspase,Inoc,heat,28.56994332209956,1,0.5848473361730847,0.45157755923833176
Caspase,Inoc,time,1226.601344504043,2,12.554706895841246,1.6798038857208494e-4
Caspase,Inoc,heat:time,493.46134379297996,2,5.050754724432305,0.014377312128635755
Caspase,Inoc,Residuals,1221.2564525404766,25,NA,NA
Caspase,Sym,heat,58.63154300201222,1,1.639860258606237,0.20625329163292952
Caspase,Sym,time,893.5666586933405,3,8.330694690833813,1.3613378162686244e-4
Caspase,Sym,heat:time,1200.335103548384,3,11.190687540842665,9.873891487102721e-6
Caspase,Sym,Residuals,1787.6993693305553,50,NA,NA
