marker,term,Sum Sq,Df,F value,Pr(>F)
EdU,state,569.8743905048073,2,11.305404971857746,3.710039601301424e-5
EdU,heat,274.6835870745431,1,10.898574291957283,0.0013309966344450736
EdU,time,396.1007572832009,3,5.238674282566416,0.0021134609175671288
EdU,state:heat,68.98062544885579,2,1.3684663127615533,0.25917467367715924
EdU,state:time,674.5719466963637,5,5.3529754395885565,2.0901542368481564e-4
EdU,heat:time,47.55781790289075,3,0.6289811695682329,0.597952686143504
EdU,state:heat:time,188.11821658360077,5,1.4927869414713149,0.19881019130456482
EdU,Residuals,2545.566195296032,101,NA,NA
Caspase,state,955.1687178385037,2,9.270492076231177,1.9728893102752217e-4
Caspase,heat,133.07364186963696,1,2.5831209072663057,0.11104044953573008
Caspase,time,523.499767055353,3,3.387255292710888,0.020896048123922525
Caspase,state:heat,46.473493019929265,2,0.4510534534369902,0.638196882293629
Caspase,state:time,2027.19252072149,5,7.870053467777465,2.5628094016068364e-6
Caspase,heat:time,1031.2979008091597,3,6.672914665324176,3.6463022224836794e-4
Caspase,state:heat:time,859.0240840417555,5,3.3349400229195068,0.00780451502269044
Caspase,Residuals,5357.727822771034,104,NA,NA
