marker,heat,time,contrast,estimate,SE,df,t.ratio,p.value
Caspase,Control,2dpl,Apo - Inoc,NA,NA,NA,NA,NA
Caspase,Control,2dpl,Apo - Sym,1.73,5.08,104,0.34,0.734
Caspase,Control,2dpl,Inoc - Sym,NA,NA,NA,NA,NA
Caspase,Control,5dpl,Apo - Inoc,-5.81,5.08,104,-1.14,0.489
Caspase,Control,5dpl,Apo - Sym,1.85,4.25,104,0.44,0.901
Caspase,Control,5dpl,Inoc - Sym,7.66,4.25,104,1.8,0.174
Caspase,Control,8dpl,Apo - Inoc,-6.77,4.63,104,-1.46,0.314
Caspase,Control,8dpl,Apo - Sym,8.06,4.14,104,1.94,0.131
Caspase,Control,8dpl,Inoc - Sym,14.83,4.63,104,3.2,0.00513
Caspase,Control,14dpl,Apo - Inoc,6.16,4.2,104,1.47,0.312
Caspase,Control,14dpl,Apo - Sym,8.3,4.54,104,1.83,0.165
Caspase,Control,14dpl,Inoc - Sym,2.14,4.2,104,0.51,0.867
Caspase,Heat,2dpl,Apo - Inoc,NA,NA,NA,NA,NA
Caspase,Heat,2dpl,Apo - Sym,14.14,4.14,104,3.41,9.18e-4
Caspase,Heat,2dpl,Inoc - Sym,NA,NA,NA,NA,NA
Caspase,Heat,5dpl,Apo - Inoc,-17.28,4.35,104,-3.98,3.78e-4
Caspase,Heat,5dpl,Apo - Sym,1.73,4.09,104,0.42,0.906
Caspase,Heat,5dpl,Inoc - Sym,19.02,3.88,104,4.91,1.03e-5
Caspase,Heat,8dpl,Apo - Inoc,-2.26,4.81,104,-0.47,0.886
Caspase,Heat,8dpl,Apo - Sym,5.07,4.4,104,1.15,0.484
Caspase,Heat,8dpl,Inoc - Sym,7.32,4.09,104,1.79,0.178
Caspase,Heat,14dpl,Apo - Inoc,15.15,4.81,104,3.15,0.00606
Caspase,Heat,14dpl,Apo - Sym,0.81,4.31,104,0.19,0.981
Caspase,Heat,14dpl,Inoc - Sym,-14.34,4,104,-3.58,0.0015
EdU,Control,2dpl,Apo - Inoc,NA,NA,NA,NA,NA
EdU,Control,2dpl,Apo - Sym,-2.82,3.67,101,-0.77,0.444
EdU,Control,2dpl,Inoc - Sym,NA,NA,NA,NA,NA
EdU,Control,5dpl,Apo - Inoc,-6.4,3.83,101,-1.67,0.222
EdU,Control,5dpl,Apo - Sym,-0.98,3.3,101,-0.3,0.953
EdU,Control,5dpl,Inoc - Sym,5.42,2.97,101,1.82,0.167
EdU,Control,8dpl,Apo - Inoc,-2.81,3.37,101,-0.84,0.682
EdU,Control,8dpl,Apo - Sym,6.74,3.04,101,2.22,0.073
EdU,Control,8dpl,Inoc - Sym,9.56,3.24,101,2.95,0.011
EdU,Control,14dpl,Apo - Inoc,4.93,2.94,101,1.68,0.22
EdU,Control,14dpl,Apo - Sym,3.3,3.18,101,1.04,0.553
EdU,Control,14dpl,Inoc - Sym,-1.62,2.94,101,-0.55,0.846
EdU,Heat,2dpl,Apo - Inoc,NA,NA,NA,NA,NA
EdU,Heat,2dpl,Apo - Sym,7.03,2.9,101,2.42,0.0171
EdU,Heat,2dpl,Inoc - Sym,NA,NA,NA,NA,NA
EdU,Heat,5dpl,Apo - Inoc,-11.95,3.18,101,-3.76,8.12e-4
EdU,Heat,5dpl,Apo - Sym,2.9,2.86,101,1.01,0.569
EdU,Heat,5dpl,Inoc - Sym,14.86,2.86,101,5.19,3.23e-6
EdU,Heat,8dpl,Apo - Inoc,-1.73,3.37,101,-0.51,0.865
EdU,Heat,8dpl,Apo - Sym,4.95,3.07,101,1.61,0.246
EdU,Heat,8dpl,Inoc - Sym,6.68,2.86,101,2.33,0.0557
EdU,Heat,14dpl,Apo - Inoc,4.43,3.24,101,1.37,0.362
EdU,Heat,14dpl,Apo - Sym,3.39,3.02,101,1.12,0.503
EdU,Heat,14dpl,Inoc - Sym,-1.04,2.65,101,-0.39,0.918
