marker,state,time,n_control,n_heat,statistic,df,p_raw,p_fdr,cohens_d,signif_raw,signif_fdr,note
EdU,Apo,2dpl,3,6,-6.213199020924746,5.292230765344842,0.00128,0.0128,-3.6135683799827425,**,*,LOW_N
EdU,Apo,5dpl,3,5,-0.7541006976934418,5.880240361681246,0.48,0.6975,-0.5045375133858904,ns,ns,LOW_N
EdU,Apo,8dpl,5,3,2.867991355752705,3.2441343793471464,0.0584,0.29033333333333333,2.179118953385553,ns,ns,LOW_N
EdU,Apo,14dpl,3,3,-1.8815738813631886,3.1979328757919996,0.151,0.322,-1.5362986408959542,ns,ns,LOW_N
EdU,Inoc,5dpl,4,5,-2.0259993269312235,6.267435745554553,0.0871,0.29033333333333333,-1.3655808777339147,ns,ns,
EdU,Inoc,8dpl,4,5,0.02958527609862913,6.988481820950564,0.977,0.977,0.019611963739880972,ns,ns,
EdU,Inoc,14dpl,3,2,-3.6663070561133306,1.044685096927378,0.161,0.322,-3.646540415895049,ns,ns,LOW_N
EdU,Sym,2dpl,5,6,-0.6097767887560159,8.551356090138208,0.558,0.6975,-0.36217494326055527,ns,ns,
EdU,Sym,5dpl,8,8,-0.3127935140571319,9.795664377696792,0.761,0.8455555555555556,-0.15639675702856595,ns,ns,
EdU,Sym,8dpl,6,7,-0.6200509044266074,9.357799988248042,0.55,0.6975,-0.33741188295919794,ns,ns,
Caspase,Apo,2dpl,3,6,-0.17949643995501938,2.6878384675694,0.87,0.87,-0.1371389654508014,ns,ns,LOW_N
Caspase,Apo,5dpl,4,5,-0.27046933194019623,6.1701523698571386,0.796,0.87,-0.18255915670189232,ns,ns,
Caspase,Apo,8dpl,6,3,1.8702195239553323,6.100298006689992,0.11,0.275,1.111403342359404,ns,ns,LOW_N
Caspase,Apo,14dpl,3,3,-12.327103293752089,2.3478769103261414,0.00346,0.0173,-10.06503769209149,**,*,LOW_N
Caspase,Inoc,5dpl,4,5,-4.816216856109694,6.444940414926451,0.00243,0.0173,-3.1362008175805354,**,*,
Caspase,Inoc,8dpl,4,5,2.307745918667845,5.042815843896446,0.0687,0.229,1.5806609140997756,ns,ns,
Caspase,Inoc,14dpl,3,2,-1.121401605353302,1.5783664478976382,0.404,0.5771428571428572,-1.0645600983313976,ns,ns,LOW_N
Caspase,Sym,2dpl,6,6,1.6035051545878076,5.200269900577728,0.167,0.32833333333333337,0.9257841326482231,ns,ns,
Caspase,Sym,5dpl,9,8,-1.3794900288252312,10.256719221014187,0.197,0.32833333333333337,-0.6815280729205088,ns,ns,
Caspase,Sym,8dpl,6,8,0.6725950189957838,11.471956549298994,0.515,0.64375,0.35018145716841576,ns,ns,
