marker,state,Effect,DFn,DFd,F,p,p<.05,ges
EdU,Apo,heat,1,23,4.636,0.042,*,0.168
EdU,Apo,time,3,23,0.083,0.968,,0.011
EdU,Apo,heat:time,3,23,2.985,0.052,,0.28
EdU,Inoc,heat,1,17,4.068,0.06,,0.193
EdU,Inoc,time,2,17,9.95,0.001,*,0.539
EdU,Inoc,heat:time,2,17,1.628,0.226,,0.161
EdU,Sym,heat,1,34,0.593,0.447,,0.017
EdU,Sym,time,2,34,3.683,0.036,*,0.178
EdU,Sym,heat:time,2,34,0.019,0.981,,0.001
Caspase,Apo,heat,1,25,0.606,0.444,,0.024
Caspase,Apo,time,3,25,2.49,0.084,,0.23
Caspase,Apo,heat:time,3,25,1.943,0.148,,0.189
Caspase,Inoc,heat,1,17,4.047,0.06,,0.192
Caspase,Inoc,time,2,17,23.563,1.26e-5,*,0.735
Caspase,Inoc,heat:time,2,17,15.225,1.63e-4,*,0.642
Caspase,Sym,heat,1,37,1.411,0.242,,0.037
Caspase,Sym,time,2,37,4.425,0.019,*,0.193
Caspase,Sym,heat:time,2,37,3.815,0.031,*,0.171
