marker,state,heat,Effect,DFn,DFd,F,p,p<.05,ges
EdU,Apo,Control,time,3,10,7.314,0.007,*,0.687
EdU,Apo,Heat,time,3,13,0.85,0.491,,0.164
EdU,Inoc,Control,time,2,8,4.811,0.042,*,0.546
EdU,Inoc,Heat,time,2,9,6.639,0.017,*,0.596
EdU,Sym,Control,time,2,16,5.148,0.019,*,0.392
EdU,Sym,Heat,time,2,18,1.082,0.36,,0.107
Caspase,Apo,Control,time,3,12,0.738,0.549,,0.156
Caspase,Apo,Heat,time,3,13,4.595,0.021,*,0.515
Caspase,Inoc,Control,time,2,8,10.767,0.005,*,0.729
Caspase,Inoc,Heat,time,2,9,25.54,1.95e-4,*,0.85
Caspase,Sym,Control,time,2,18,4.024,0.036,*,0.309
Caspase,Sym,Heat,time,2,19,4.07,0.034,*,0.3
