marker,state,heat,term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif,signif
EdU,Apo,Control,time,2dpl,5dpl,0,4.938666666666669,-0.7790948218902471,10.656428155223585,0.0964,ns,ns
EdU,Apo,Control,time,2dpl,8dpl,0,7.7693333333333365,2.6552119863158765,12.883454680350797,0.00422,**,**
EdU,Apo,Control,time,2dpl,14dpl,0,5.743333333333337,0.025571844776420605,11.461094821890253,0.0489,*,*
EdU,Apo,Control,time,5dpl,8dpl,0,2.8306666666666676,-2.2834546803507925,7.944788013684128,0.376,ns,ns
EdU,Apo,Control,time,5dpl,14dpl,0,0.8046666666666678,-4.913094821890248,6.522428155223584,0.972,ns,ns
EdU,Apo,Control,time,8dpl,14dpl,0,-2.026,-7.14012134701746,3.08812134701746,0.634,ns,ns
EdU,Apo,Heat,time,2dpl,5dpl,0,-2.104266666666666,-12.682361099372795,8.473827766039463,0.935,ns,ns
EdU,Apo,Heat,time,2dpl,8dpl,0,-6.5923333333333325,-18.944886353987243,5.760219687320577,0.429,ns,ns
EdU,Apo,Heat,time,2dpl,14dpl,0,-0.9993333333333343,-13.351886353987243,11.353219687320575,0.995,ns,ns
EdU,Apo,Heat,time,5dpl,8dpl,0,-4.488066666666667,-17.24572856856979,8.269595235236457,0.734,ns,ns
EdU,Apo,Heat,time,5dpl,14dpl,0,1.1049333333333315,-11.652728568569792,13.862595235236455,0.994,ns,ns
EdU,Apo,Heat,time,8dpl,14dpl,0,5.592999999999998,-8.670499623307318,19.856499623307315,0.666,ns,ns
EdU,Inoc,Control,time,5dpl,8dpl,0,-0.7532500000000013,-11.098017052279886,9.591517052279883,0.976,ns,ns
EdU,Inoc,Control,time,5dpl,14dpl,0,-11.10475,-22.278375475209828,0.06887547520982729,0.0513,ns,ns
EdU,Inoc,Control,time,8dpl,14dpl,0,-10.351499999999998,-21.525125475209826,0.8221254752098286,0.0681,ns,ns
